title,description,phone,rating,website,image,images,location
Milan Russian Beauty Salon,N/A,0639-292959,"4,3",N/A,https://lh3.googleusercontent.com/p/AF1QipMW4y6N3Ttsta2yHcM3MiaEVjJcb5voTmYQOAmy,https://lh3.googleusercontent.com/p/AF1QipMW4y6N3Ttsta2yHcM3MiaEVjJcb5voTmYQOAmy|https://lh3.googleusercontent.com/p/AF1QipOxUJhcTv-OFncB4Y5H8ZaRM555uWeQaLgzDmL3|https://lh3.googleusercontent.com/p/AF1QipOOFAV9XrBcP0bU2H_k3kKPCJ_LDpbUh9wRUlXX|https://lh3.googleusercontent.com/p/AF1QipOh6X6cHA60WAKAKBE9NMuLreaAYUwb6xtifvAI|https://lh3.googleusercontent.com/p/AF1QipP3e8H33OBeVITnZVXT_cKF5NxSxcQCDRSvjLy3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmoOgetN6xeZKWFH0J2K04ATfidiK8tiANzMEw-kU3HHJYNt55GCTbeKZkt5Vt2TFVfHbp-n4ggKx0RHuWeNrtplmuKB6BlQorlG-wBtUoSr4wcayid_JKJ295gHMShk6fo938MhbJ7jrM|https://lh3.googleusercontent.com/p/AF1QipMwkXE9YJLBRl8HlEa_Q2oGX5_snfAI-nuWwWfF|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHBca-6-aBVoGiLd-5OwNg9qlnHR4JMmv8Pt3k2c9NGs911TZeegNClJj-5bedI-uCg9wrVFSusDcmQ2xKjEHSU2ExYXK3645ep_6nWiOAphVam7UQHwVQMh0XrjePzWn8NP4RgF_yNjnm|https://lh3.googleusercontent.com/p/AF1QipP_dyS2FPuG_DrkLruCyvLuXZ2inIz5TT0XJPra|https://lh3.googleusercontent.com/p/AF1QipMflSc27RLbbBzYXJiVLR0vSq0UJtyzaoOUgAIu|https://lh3.googleusercontent.com/p/AF1QipPHU6moovQCRdSBbGYi3gQEBFYcOBqQ6RpKYJ2R|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcwEjpwgm3ae5Mi5h6DuBMjVgIlCRT0Ry2hTbLsOG9VaxkNJDAk4mVJEyJvrJ2PD3xNT_D7gpZopOdDR1VXPi9u3X4sNJ0ySlPu4HAiDbL7M_N0vZ2Ij8-5u3K3f2IbNM6SNigk-IDa7KN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytPIa7in9w5-EsafRnxPx8Y09pAzJEBgoaM15nWkFeRj0pCrrEIT1ZwOyhzhDLjtgzN8_APLVC69Xjrylty9vV3YxCDLxCNvfJiB1xXaLIi3BzgJODz-GWpB9knM7z3hSwwSuemCcJtzXv|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzERkGc9KAAFIPSInRUP84v7ypZN3IodHCqMUT4LPjzPMHzheAtS88NkMyc9s-gD51BZbRl37hVJNAhHtNtYNSS4FteQUzbxyd90rX8A76Nj6ZkvTYTkWVNtNOhotR7FPgBiFbUm5dRbvI,"residence l'orchidee 4 rue azzohara(ex lepautre) quartier, Casablanca 20250"
Lartiste Barbershop,"Services
lartiste-barbershop.com",0661-305794,"4,6",https://www.lartiste-barbershop.com/,https://lh3.googleusercontent.com/p/AF1QipP194mU7JZKVZiFgcb2R17mvt1ppLELFHUEc78w,https://lh3.googleusercontent.com/p/AF1QipP194mU7JZKVZiFgcb2R17mvt1ppLELFHUEc78w|https://lh3.googleusercontent.com/p/AF1QipNY-Di18wQDYrhBxQnhpBp7mxXacpElo6pSS1D-|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfJ1_64ThI_B3THg58PHIQiy1ErYyN3hgdP-qY4Vuyy_Wke6OWEz9Dp3me9YTis4P8ltVNpWlJGS_ZxUS8dPXo0NuLyz8KWd1l44r29FZVghTrkmTWInaSQZh2PG-uBRgMDGzOlK0c_aJF|https://lh3.googleusercontent.com/p/AF1QipNU8zwj9urBu69wtf_I_L5oGkcDzH5crTPVdKZu|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwbOOPBUfeUf6slqmG_PtXJqp2ncvZ7p66b3cj-5__Cuzy9RAI8pkM4GWZm9c_Zs7o_TNsdc5LoxlGeWKd3Crnydb_FOSC32XI3-pjXGlUMqgjTN1p2_jpVjWh57zYQJTb1m4P-|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzi68iPoBtoYNh_xpm2vLqJjA4KhVPyH1B6-zrfGNnP_mLvlh9dbXix99C6GynN_2GTmtabvAPQXHPlEDuDPdwhQ8fgWA6pBAd2VA2dU8o1y6acvWiKrfH_0vJcpOaOAtI5f0g|https://lh3.googleusercontent.com/p/AF1QipPvr7Z9cvN42KMLLpGHfWT_gmkDgeFpvKR66BuK|https://lh3.googleusercontent.com/p/AF1QipNLalDwFp9h7UcGLL6paFykrvMREEHUS3OjrYaZ|https://lh3.googleusercontent.com/p/AF1QipPvnfa7cHMvlJwgJXywzAN9HNUVnZQMeewJy5Ya|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhMuLATtgyKnfh4y5-8KD9U6l3hfouT7F5h1s6FSX5hOKxgzcvUDGQ-HTfvIu9v8zNvhWlQNUFUG7TJjd05K_7ahVhdfkC_MGsICKk6_ebR1LhLSCpNqk82ZVpOP5b5T1lA2HD|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzxAo_NC-kFRyHcKOQP-14NnH0xWWfPpIQc-lbdmDCsGKdZjs1osEUOYrZqhbb8RamVlGRDe1KrGXp0hMPaXYookUbgCoNiuYVv7c9C4eKZENmYn-nAHcy1OSl1D107iA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpBahHtapL4gQfDZ9-xoMH6GTod-DWsueiKFXtQtPTLu9qIDE-tObAuhn8lZYoHMCggse2-GNbzQpvk8-mootSVI5dWeUEMnObtlItwHJUW-1Gl0g3rc1HBOOqDRJ7h7KR4-8BNQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmuc9vGHbhwMy-94o0sTfShj6AjZiGlexJvIfcV98wKyUtE2idIMsLBxRqYuloVOutS6phmm3uN3DgSZFfDWrdEDRaf_BTfJa8Jim_driNSebCgMh9z0A7p48RJ32AL146nvgKYg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyDSEgapCEj25XR9dpzK0rimJEvjMFmQeLTQdw5Sl_K0PBY4PhMjWIhiIZkYZrpuGIfPK1JulYGdOIkba6jZfh6pIPKSmWvXM_Zr6U6ObR7weGIN9vTErm1cuN7ScpwfoQ5GNqL|https://lh3.googleusercontent.com/p/AF1QipPeEVXscGoSp0TmDNkwrCQkltIrtLszD41JT5S2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVDSA2hvyh1KE-qyF9fn2OWmIG3FS4cEOM_sR_vlb92I1CCCCAS-PMR7RqXddNUzS3EwFTX1rcppZZu7JKgBPFlK-yNT1Tb2FD8RnE_yuedfryAQXNRl8RyD3Tihkk2teiFVei|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxWsNB5WiQpJQBJBwFUJ124dFpU1hCj7lHzTQZB7YbXGmV4vsSgcNJKHCEd0w-mTm61RG3u70oiK_ozPp-J008NXp3pJbvcMvi-LA98s3m5i3Dp4PTpaP6iGcPGGYnyolsIB4qR|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIrgVrWS4apO2WuwNdYtDUEyfPoSHKwpJrY527lPG8FqKLM6CUgV2EhELmSTl15wri4iwkK-fkr04KCVE68tfqPCzKJRDB4LocuQ31U166zQOIAnOLUjGwATBNGCvUGaGajns,"Rue Abou El Hassan Es-Séghir, Casablanca 20370"
Legends barbershop,N/A,N/A,"4,2",N/A,https://lh3.googleusercontent.com/p/AF1QipMyxpyBSyAFjnEHDvx3gWD3mmqC1l3mbIotzD65,https://lh3.googleusercontent.com/p/AF1QipMyxpyBSyAFjnEHDvx3gWD3mmqC1l3mbIotzD65|https://lh3.googleusercontent.com/p/AF1QipML0_6TXIFFsPFRwCiL7CXtijm9Psa7NH4JGBGR,"Unnamed Road, Casablanca"
VIP barber shop,N/A,0677-722801,N/A,N/A,N/A,,"residence rakia, Casablanca 20192"
First Class Barber,N/A,0661-320066,"5,0",N/A,https://lh3.googleusercontent.com/p/AF1QipNp-xnlAQ6IfbMTu1ItEdUiigLW7UkjybVQCGnw,https://lh3.googleusercontent.com/p/AF1QipNp-xnlAQ6IfbMTu1ItEdUiigLW7UkjybVQCGnw|https://lh3.googleusercontent.com/p/AF1QipNLWmtxHPwJk1KprOhDWHGPTMHTx4GmyWtu3GQf|https://lh3.googleusercontent.com/p/AF1QipN5s6m8iWkK58ILsf4p-zakHRnmtWgaiFjYdpv7|https://lh3.googleusercontent.com/p/AF1QipNcY6yA8r7qpcSq_Wqn5jJEN8rQQkv8DYyPvkkm|https://lh3.googleusercontent.com/p/AF1QipNa6dI3JTwEnpUtXzcE5IhnYBnusoQRnvTF7Y8d|https://lh3.googleusercontent.com/p/AF1QipM9ksmf2Zspuj6y2ZUPCpXIiVWdrt1NBiOFtjxU|https://lh3.googleusercontent.com/p/AF1QipNXdWOcy0jwLd8UNE30cAvXgyqZefjq8VfyhvIJ|https://lh3.googleusercontent.com/p/AF1QipNa3lqlsCAEel-jwGW0C6f6teOwqARdYWCwYjaL,"1, Lotissement Loubna, N° 35 Route Sidi Maarouf, Casablanca 20280"
Lukass Barber club,N/A,0604-857886,"4,6",N/A,https://lh3.googleusercontent.com/p/AF1QipOucz0TWH_BJ3_z-o_W8gBOKEewFtTziIf-HyM-,https://lh3.googleusercontent.com/p/AF1QipOucz0TWH_BJ3_z-o_W8gBOKEewFtTziIf-HyM-|https://lh3.googleusercontent.com/p/AF1QipOh8k7HySEZZYioaNl5IpKcqeQ0ypr9sbGqmcbd|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxf5itZ2XU9MPvhMuzUkV1phq7YTDh0Ke1TtK4tbsCJ8QvRP5eXbwlXpbDxZLkn2TQfMrZk1BkyIFxAlsPnvU_4SmggASnWGKoe93hgwqDMH-KeSBtOvvSXhkX1JUDHqTtYrKFG|https://lh3.googleusercontent.com/p/AF1QipNvdfSxd2d4bkgvk2T3fs_LIqGtI7P8tfGNuoB7|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy-mOut_BbqaFukh6ktarck3ljrAN6EDlkpexUt5yhZkq_T2lvaNEGgXouDcTSzV9thJ2qFF2cCEw-ks-3a3-2iUDLEWaqj3oTbhBaSMyiuWF2GbV0AYM8HYMaELSS82jMPLGJjbw|https://lh3.googleusercontent.com/p/AF1QipPZYr6zCrzwQhYZhJVihldEX9D0x9LLDvonPqcX|https://lh3.googleusercontent.com/p/AF1QipPy8ga-NfrYOeYcF5n93u4GN0s_VISA9AOeAsFe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOtpzr7KeZcxLXyX7Jo6L1aiucVZqeQQub0WoPlE-_YD-e6nczBe4QQ5PlfS0vWI2ZqTbX9LsHCSg9Cq9XWy18a1tnRM1Umu1iI3sK9Gb5FUM4GrdInHcqdZ2y9gCFiPIiLL4|https://lh3.googleusercontent.com/p/AF1QipNn7v9snWgVDkwl-MSP1Nt5y-P5UN8LuwjL7uTg|https://lh3.googleusercontent.com/p/AF1QipOSqmVzFikQbdyYeLcv_KDET__nAANvHdoaFBKG,"Bd Adarissa, Casablanca"
Brothers barbershop casa,N/A,0649-070207,"5,0",N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_NhjNtXVGbfh23rWYovFeByZPNSOhbdTauptK2i1MbK_y9zVzUDWsBBbsneEXvlVs6jDNxPfzPOYXHg0vwFg78mlq6Ko6KgEV_jDjSkB7qOsqIPB71z8KC0KAfZRrEWEGs-X4oIIiFnbe,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_NhjNtXVGbfh23rWYovFeByZPNSOhbdTauptK2i1MbK_y9zVzUDWsBBbsneEXvlVs6jDNxPfzPOYXHg0vwFg78mlq6Ko6KgEV_jDjSkB7qOsqIPB71z8KC0KAfZRrEWEGs-X4oIIiFnbe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzj0zeMe0Soh7Lr_sy0MfOdgn-qmwRKA4EfVO-zR_QutCDtZyIU2QsdM4RradpttkJknabrtbunz-jqnRqudmQT5hkRQApDl5RQa45vlqvEDszTDKIBMC6oMkpbCqBqIGWcTeOJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaO5nVfJ2H2ZTHy72llVBqnsk0xZ3Znz1uG5rbYjahe2L-zGQ76CnAeOrE7LYJw4_M0506Yi1wBN2JZJ8uIJjYZmjSQbG6_NydaPZRu9jTR1DH0gXbeG57MnSelbILeV0C7gxW|https://lh3.googleusercontent.com/p/AF1QipOljKC5VydKZaXQGD4LT7bPq7CRI6eXO7X8SOSj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIx3ZrT9zDwRmXaYYeTPhHcRjUZHRIjn2lPN3pTLNKLWMjX58OwEnRDcTLZ4l1f24VLwyeUaSz6v-HOOqODMx8ZqSJEr-yD5lUhyth0MHCnLCHxzxZuqu2xc_mrDKy8QgRPCXncFpqD7yP,"Bd Adarissa, Route Sidi Maarouf, Casablanca 20280"
Rakia green boys,N/A,N/A,N/A,N/A,N/A,,"G964+PRG, Rue 100, Casablanca"
Barber's Spot,N/A,0602-879414,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynhLOeUppbQY01jJzWf_wcSb-Kt8fKU33kCRHckv_Ko8JTH45gdBSpMeIeq7dm5PtASzVpc6ssyf2z0LvgZ6r3X0RhONv-7NI1-lLT3DiHw1nIlJYtPEHjXowTGh_AvY8r4BI,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynhLOeUppbQY01jJzWf_wcSb-Kt8fKU33kCRHckv_Ko8JTH45gdBSpMeIeq7dm5PtASzVpc6ssyf2z0LvgZ6r3X0RhONv-7NI1-lLT3DiHw1nIlJYtPEHjXowTGh_AvY8r4BI,"Bd Adarissa, Casablanca"
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,N/A,0713-222324,"4,7",https://instagram.com/coupe_king_casablanca?igshid=YmMyMTA2M2Y=,https://lh3.googleusercontent.com/p/AF1QipP1woOSpR9ZJbJ6m48-PnePx7e9Jj9BTIbpi99R,https://lh3.googleusercontent.com/p/AF1QipP1woOSpR9ZJbJ6m48-PnePx7e9Jj9BTIbpi99R|https://lh3.googleusercontent.com/p/AF1QipPVd09fPEppUp7ljUjc3JsUoeD-zfMoa0g91plb|https://lh3.googleusercontent.com/p/AF1QipOdrrFrNCDEw5YK3C1iZo3aOw2jhu1rBXiSPRQP|https://lh3.googleusercontent.com/p/AF1QipMPI-2IyjqmpQ5MAUXBR7Bx63zKAsfiahizdlr_|https://lh3.googleusercontent.com/p/AF1QipNzUEt7JwbhtBglvYnkeUAreJGZrqRmMPic0c88|https://lh3.googleusercontent.com/p/AF1QipOOxsGwHNCMB6EPi6HnY8wnlkJE5sPWGLBO1gRj|https://lh3.googleusercontent.com/p/AF1QipOEIagDVwCp7llyhA5yuluWqSDJ6NYteACXKFEA|https://lh3.googleusercontent.com/p/AF1QipOOk-gjhz-_pWl0Lm10HRZ6mYXkU1AGdC6vKB3x|https://lh3.googleusercontent.com/p/AF1QipPHl9LGFXvPzc5HDGOutgPqucWR8mgNAy4y0e1o|https://lh3.googleusercontent.com/p/AF1QipOeFurk43JrmfCiFowi2dgO43j8IsAvWbGP0nku|https://lh3.googleusercontent.com/p/AF1QipN9JW_sRUYDB_Y5hb7z167BO6Hqzls0qSBkNH5X|https://lh3.googleusercontent.com/p/AF1QipPVk07QQC3EJFdyXIQuHp6qsNfsfFMIFWFadS-g|https://lh3.googleusercontent.com/p/AF1QipPHGb6I3u-PqpREpz_W7s8OveE-GohjRi76hA8B|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0VdKG6CMvifyTiGtzeo1ChFli0NkyHLcTLzlR5AQFRdWwq7qWbtG5s_pw3XamhmfFNxAYwOX3A2CYW-j_ZFYBBxJqm3vM3IlL7TH0dNqdc_TZRfOGXd6_B1B3BUZ-01Hq6kiJhg|https://lh3.googleusercontent.com/p/AF1QipNjYTv5vlaFvCHedZLERN-oS_u8pvPJtIn250c-|https://lh3.googleusercontent.com/p/AF1QipMYvuq5qoMVoA33HWqcc-w-OWsH1ZIMt61tTLK8|https://lh3.googleusercontent.com/p/AF1QipP2j9AAy6zh3hlgop5oEM4PALzAYygK-pr1zA_e|https://lh3.googleusercontent.com/p/AF1QipNMfMnpKlsuJcQEnUtkA8btT3mE7rRXZB4jvMIn|https://lh3.googleusercontent.com/p/AF1QipPGHc_zj5MV2Rrxyhu9Fdz2Ldq6rnTWnxMKRWjs|https://lh3.googleusercontent.com/p/AF1QipMv5GlifGde0gvE_uIxMPugNx48wabVkFXBfsny,"N, Sidi abderrahim quartier oulfa Rue 36 GH6, Casablanca"
