image,images,website,title,location,description,rating,phone
https://lh3.googleusercontent.com/p/AF1QipPRPw6TxCr2aIGkbZM9-7d0kwa7hF3Uc2WM28V7,https://lh3.googleusercontent.com/p/AF1QipPRPw6TxCr2aIGkbZM9-7d0kwa7hF3Uc2WM28V7|https://lh3.googleusercontent.com/p/AF1QipMSjX6aWSqVgmazsxJbCTUgKhKKXYQVlnumyYT_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyR3xE99AOJwK6cyW1XC7AXAvDQTQc3swsAXbgH3Do1N05wbXX1tFrUL7euZ1YFH3gPov11GPoj-PzKju_L3z9azbaVuF0PJJVUrMyeoWl1kt6xKbbHwv4kiavUOGa5Jqp1z_vBRAJnuyv7|https://lh3.googleusercontent.com/p/AF1QipPSjJFTHHpBbR6-HAyA160-w8aDLXI8ApUdTs9v|https://lh3.googleusercontent.com/p/AF1QipOZDjNBVH-8z2fCrIqRsnE-RWzAZMM9AZpl4yGL|https://lh3.googleusercontent.com/p/AF1QipPZrFpgST6bW7qWaiz3Vd4dDIECfGHFXE0cI9mq|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbn4snGrgiyaAUGOJzOUK3Um7X8aaCsaHAYKln87DU0qvOYLD00j5o4V73uvmM7zz9rrM5JaxBIlkDdPg0n19d8QWAOardDMCltPQurghf4-2sC-ViwFouDg8gf8v07QcIlQ04|https://lh3.googleusercontent.com/p/AF1QipO4lWRM-nTPAm2nG31WQOkfreRJ-uC1pqPj6vAi|https://lh3.googleusercontent.com/p/AF1QipOGDK9ZZBqPypoxFONvJQHt2gJ6Nx4WioG0Dks0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAHjrXm1vZuAAO1UiGVqjuDKleKEj_KJKerlgyPe5HJWiFGry_LnCBdsr5VlLv45si5UCl1CuZbfnLC1InfnUjezW0wzR-3YMnxc1I8hACbl-FCIP_jiVmA93qG9QrCWw9w1s|https://lh3.googleusercontent.com/p/AF1QipMMx_PJt4_rT7iVfcVamQVjrgRJ_R7nZFr23SLh|https://lh3.googleusercontent.com/p/AF1QipMF6DSwomUvjx4RCR_Lq4AGeAmFRvXt6x_W1tKr|https://lh3.googleusercontent.com/p/AF1QipMoqV3WD0KWxRhqVtH6UYRj8Hr-ujjFrOTuI21q|https://lh3.googleusercontent.com/p/AF1QipONGqbs7LSegIlFGrOOsVTGwlF757QLugzO92jK|https://lh3.googleusercontent.com/p/AF1QipPLh_547mEOXNoraodyMvcvxcu_3MR_vWAT-0OS|https://lh3.googleusercontent.com/p/AF1QipOddeIWCWjXoKVTfktJxw-6WYXn3GY7lEAzznW2,https://spalarimar.ma/,Spa Hammam Larimar,"115 lotis Al Wahda, Kénitra 14000",N/A,"4,7",0615-151904
N/A,,N/A,RIF SPA Kenitra,"Nr2, angle rue jbala et, Rue Saad Zaghloul, Kénitra 14000",N/A,N/A,0661-309660
https://lh3.googleusercontent.com/p/AF1QipOMv3E7w_Y9mV-R5ewHPYH3qblMVy-_fN3x1kM0,https://lh3.googleusercontent.com/p/AF1QipOMv3E7w_Y9mV-R5ewHPYH3qblMVy-_fN3x1kM0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziEZoLtr48XNOb36hqK6n-Njnht7drhICBEvWHbld8Kism-FQqVajMROdRqXxSg_INM216ql6dSfqOXR93D6gcpuUHqaXvk28flpK8qYy26z1jsfQFlDQ2NAb7-6yYPfkg8DKW|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHMiTsDnbCSNIDh_0lOtZPV227FxfyECITOc0gNMekgYRw7WpW2EM_LrDdiFAYiM7qSnV7siDKlunwCk6rcVqO3n-dE828DiA2gmOP_hPQibKe7b7jv7o2a3COZQsKEg9bHGQd|https://lh3.googleusercontent.com/p/AF1QipPwObC5MhTQpOhnqBX72mG9v2AvDPkEANfIBckI|https://lh3.googleusercontent.com/p/AF1QipOiHFIW6VCA2iZWLcdMKxjyXvlIOCQ3lFcYLFo0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXuq7PG8c9fID6jwRneVNz801_yyG6UW2BdF1tBA7hUcVbLf9Bl0hwI4Nrx-V4KklzgsDzpz9pgEwXYsKz2HsA0Gj3XieP7beAUzOMQsgaUhz6-DpyWpgKvYqnpZPyTit5_ZG7zswiahq0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSQm5j6WDyaP8QYSNkzvVARpV4BX_Z5AcwUI2YqOr9unOEqQ5fp39ZmK_ZUSwp4TemOsm9ZQzrQR7b6Xh3NRvcKxkOR1BRuF2C63svk4RfJEuztoUo4YwmwogFe2UX90WX6dCDnw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgChP2ucZ96axylDT4gHZp-VJik0iFFyhGJXkJqN71f_vTzKqsQIJ67UDCyyX4EDYvcDZPAsAsh8WOLjBH3CL4h6yeS3Aaoz6jhobyPx4g4VngA3-naboX-d4q-wmLbSxAYvfi|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwp3Fm5uC2oth7xPm_FPTYtj6nVgZ59bgE4q17icqa-zgPweB6a7RYUxrWwLj0rqIVZsdOJrwI4gtyFuDO-tktkeV2rpFROrAlsusXqgEYGeTPSbuaImdtfC3XlcbC7DZ9gTsm-|https://lh3.googleusercontent.com/p/AF1QipM7mumtWKaeH5Se2ldpex3-kBSbpbmvsLv_LFAE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwThzDp5q4R3dVyW93Jy1xyf4TVifNStZTfy5jSuuWoBQtD4MqnTIb933RogbXbfaxDmBGNcc5ynEjSTZrmLQV2_9RMcHeIBmw5HIg3GqB-yiVyhOvWpnyr9ZRdepLGEfOQlqQ|https://lh3.googleusercontent.com/p/AF1QipNz137KH3x5mettMPoIdWgBgRpcZfsR8m2cpHMa|https://lh3.googleusercontent.com/p/AF1QipO0G5phzbLGPZvYBxz-0wFKOYDGerMDAZI8b6rb,N/A,Hammam Noura,"HADDADA, Kénitra 14000",N/A,"4,4",0676-768448
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRHKHSYB29sfzM4QPjmkLqKCd5s3phyWtJgs66SIyJmy1Hkxmi8BYsGXS65bAhYq0WcPmpXMBlguklK8qN7ODfoTUnYhrWjgOCVx-9g01WuXUszsYXe-hZwJQF-r_GgXM6jGDV,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRHKHSYB29sfzM4QPjmkLqKCd5s3phyWtJgs66SIyJmy1Hkxmi8BYsGXS65bAhYq0WcPmpXMBlguklK8qN7ODfoTUnYhrWjgOCVx-9g01WuXUszsYXe-hZwJQF-r_GgXM6jGDV|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzdhqYnkZOie7PZUmfb7Qdw7OCFAQC5eOo7MnneIZVXL1p9xK0jVNw2KO1TwuP0gI-OUKWqb4GfjdKH2XNCjfOcxPu_Djsgv4xjXEBlHszRQxjihumZ0G1mHCaOPzoYo-z3t1pV,N/A,Amber Spa,"Nº 67, Belle Vue 2, Kenitra 14000",N/A,"4,1",05373-27996
https://lh3.googleusercontent.com/p/AF1QipN_HGpRDgAxoUxQwrXeZXf-iDKOjTsPxIDf2Rl4,https://lh3.googleusercontent.com/p/AF1QipN_HGpRDgAxoUxQwrXeZXf-iDKOjTsPxIDf2Rl4|https://lh3.googleusercontent.com/p/AF1QipPK-0Df8lEduy7ZAexTDRzxioTItsh9pSNcJ_Oj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVXtACkQ1UbRmDe2eeeuGKvSo7dkOk_F76zS0xwfAOFB_kNPWAuJc7Lh3Loj8xcaPe0Z-KjETvuizMi_FCnLmtxsQfwVC6Qw9PKjLJYVSRKCV-TuJfXNMem6xVxYKKwioyP3DH-nn9EgA|https://lh3.googleusercontent.com/p/AF1QipPv0UuGr7ZB8CSt0_nYaBlLcJMgZ3VDXFjCd24R|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzl7oDbfeocCT2thLu7jrdDGquN4s_TpREg8nSPOfEv2s4BRobU9aYx0otvnPR3nwbsfJLnVtotS0cBzIwChx2As0VB4xYNn9sSEgfIeDG_KIF9iZMfENKXPPM_fEkAP_izNwfO|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFCyuNGL0fKU17wFHGySH7UhBPxsQ8o2nRK7xWhMaZDiUCF5YK2TP4fRQNDXNPDQVK-qnVZf8m7vzIiSuT1h9MPjLBKU_sCkY5cIbO1pEmbuvgQQ_cfZpfZyYE8yCObuSN4rKG0g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxIz6ol1sp45roMd1f0Qi-UYyAEkmlLzFqp4Ezvt7h5HMOfSXJkrzgBXIYzQOAI2YX12Jm4cPrQSEqvd-dp1ivz7L08dv9eB7sOhOx47fQMrjK5aaMPGgEkTsYTOqZ6eh1X8oOgrg|https://lh3.googleusercontent.com/p/AF1QipNbczOQD4mUFqvDORy5h2IZpNLRLA-jwlb17ovt|https://lh3.googleusercontent.com/p/AF1QipPuq2p6pPA8jBagizuaxA6HVkqjMCgL6mc85YSQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYnJ-V7ouuVh1YQ4QGCHSDLf2z3pjAqD_6MhI6CIX5XKzZ3A5RIECxIs_Av1w1Hcs_WsUF44kHp8W6WTXJJNBkF_82SLoM-pdSMY3k9JTO3rQv7gs7rkZTZRR4dvkkAzvbPQI|https://lh3.googleusercontent.com/p/AF1QipOJXxQMqCCLGG8M74c3JHXpvs8FtoOWzxCtAjWD|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRPtleY8doMVJ9XCrQCOw4YYtAZ-o6RtFUaxipBU3Ja594NvZcF2-TaHj8b4KUDNsdRJbzaOCmApauSu0qQ9IAjJMuYRsMi6xJwfsIJyUI8vKMXGB6DtPcnRfdlQums2jiRRS3lg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhxjHdTC40wXLiUZTFvuE3JjiqW1CHEHThsgTPqot1iKDKc7AuW9ZxDBno2QxppevI9qOl7-VGGimI_608wjGMeyk2TSGszrtcjYV2n0LpzqLx_fZynUK3lhkAFNoyzVrjFhn5|https://lh3.googleusercontent.com/p/AF1QipN4kyVIN4UqdJIqGWyOAIVvvhu39DBZktMnjM-X|https://lh3.googleusercontent.com/p/AF1QipNWkV90iOWGIMgaTZGNrhsL8XBGYEOEd10UcK5m|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSye1zcGs1XgVIuqwHF6giPZoTuSZ5VOtqR8AUIeB6DWTIAyYiFZ97FJOr9AncDe_I46IYxOMj29OhY4D26sqLbMZmdHF2E82MJApF-eEgUIgKNEVzEMkZxJrtn8WkLAXjcZl366jw|https://lh3.googleusercontent.com/p/AF1QipMsvagRIvcfEtt_M4KRmpcgZxRJbHmCk2MaorGL|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZqZeXFBsTE39MM0QNeXLgCmZugShe_qT0C8GUyTpstoz_05lS92SBGGf5JM6xVP6Zh-fZePblqm38VnS9ntXlIrCJYfbXbWxfhllm1Y1fucEtMrByIcSV8h6CfVUspHYAcloTEmDLvHU|https://lh3.googleusercontent.com/p/AF1QipN_CfOOf2ralIbLE4OCWynEbcyd8N9D9r2IpyP-,http://www.havana-spa.ma/,Havana beauty spa,"bureau 9, Immeuble nour, Rue Maamora, Kénitra",N/A,"4,3",05373-60310
https://lh3.googleusercontent.com/p/AF1QipPatqnAphB47v55wwIJYtBTAn6p-Nc-tkVD1nBT,https://lh3.googleusercontent.com/p/AF1QipPatqnAphB47v55wwIJYtBTAn6p-Nc-tkVD1nBT|https://lh3.googleusercontent.com/p/AF1QipPs0-luU5deEPLN4FkN1ybnINDGv12W0uB2_T-3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy19eD-6X87EMzFS-IGK_6KoG79SxTZ7166t1YKXJOvlgEENF8vzJA_zXbn6vhY8te9x6Spv4oENxySK69GOnggjIzw3jf0rbO1RZRi0BP2ILvS7jn3MlGTRvT4pgA5jYPmTa_k|https://lh3.googleusercontent.com/p/AF1QipPlVSQvmTJaS7CWTWAw1orlkXKkQ9_2adX1W_qX|https://lh3.googleusercontent.com/p/AF1QipPHkjgTFHD8i8L4jjI4HLVB0Z4RMkmYfndIDmsk|https://lh3.googleusercontent.com/p/AF1QipNWBsohkv7jJo0fMMb2Yc0dQ2VRUSEFGd8TtS1e|https://lh3.googleusercontent.com/p/AF1QipPlU85IeEmQc0AGD3FI1bYsJIs9AFlsQVsAyz4k|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwo2_DeskU2vUBags-JCdGbBcRyKl7ahmSjjlYJhvSNw6ygL6SXR_6RyrjgPl6QBTlh1mmCAzGlI_9SYRz8cAKB84ku7LTzCAcQIvLihrdAnuFiI6lgi79GDC-o8fAtfMwW7I2o|https://lh3.googleusercontent.com/p/AF1QipNc25Yhc53bI8wQ207ei1mw7SsTACevevMFE_gs|https://lh3.googleusercontent.com/p/AF1QipNLiuItoWLA2U42HSwg_pN0F7iekhugGRXbFZbb|https://lh3.googleusercontent.com/p/AF1QipNq9wo0NdR2_vJ8SDmL8lBQkyiYNkuKMCp7h4Ao|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyOhpvQupdD8uqtz2QcQl8qj4aZGdOm66EVLx02VKH0GJO59H0PiKtQTsT_CQkNNFiqiTGGFE94GbmCYsziDkg4eDKmd8jJBoTyoAleOmGeRwJn6JNCEOHv2wx6S0uKG5culpcD|https://lh3.googleusercontent.com/p/AF1QipPtyeGgNo6v2j3F55IfJAvhRyiIE10BvFKbsOBR|https://lh3.googleusercontent.com/p/AF1QipOS-WXKPr5L2k6BXdDXBmljcPTOQb4eIrllNiJr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIHG7IElRIzmVO_tTIe1UVHPRVo9YkEam7soioPtOVsVrpLcwFp1Vjmp2X-8F7oKw-kHw4DfacJZ9F-3kgoGYJf9D-8iv71sU2510Axd9hGHzTkrHt30tas8mz31Oai8cLVc2NRg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBRlMLcF-fWadZ5RKo3MpdxiANEqm2vH23S13yxWSizsXeM6JBUmfqvjTwzQP9X-kvjOFr3CNuQz3gGK9bY6Sg9D_7vk4feIdmkupO6gHZ-TAf3n4yg7VX7W4f8UkqWCPpeOTETg|https://lh3.googleusercontent.com/p/AF1QipMFFXp5FPQUdM7epiYNym6xDB9Cdx4WeBqiDDv7|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAeEpNquJTw9i1OeIeZZBGjaS8HFXuRH91uP3n3q--uLYwFTLGk9YsF1gsuBOkpQ-xMJXNHaHhLUnbropKqeWq5T7Qc4j79DbSSmGQb7ojDfsgfdycxuZSdgcgedT4TMY5AlG-|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyStEff219wTAdpwyA3WPmgEaYk1L4zhc_EkInHHHYpDL3U-65u-J_Gs2Y24l8Z0M3qxYgBXwRkNDMxfXsDlgC6cPQI56iPJNx90psDGCA73TmTULw2TAsWffnkKD6LlEN9UytziA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwCa7yPigeqiOsX34_x3FVAeupBzn3hJNMBx-HijCC79hOOcyd1a3xxEWJlTPwOGl0UH9nUZUYV5-dx6rVGmnLLBspOMCDSQvoqxPletJEscbNpc-6T5tPNSiJgk_d16M8ealt,http://www.bttmassage.com/,Bangkok Thailand Traditional,"Résidence Maria, B1 Rue de Damas, Kenitra",N/A,"4,3",0672-826365
https://lh3.googleusercontent.com/p/AF1QipNEhQLJ0EfuwdBFBtmzqJfRlKtEGPaVSO98r_hC,https://lh3.googleusercontent.com/p/AF1QipNEhQLJ0EfuwdBFBtmzqJfRlKtEGPaVSO98r_hC|https://lh3.googleusercontent.com/p/AF1QipMej2fQRGxzhkQ5kjfA37uFpm1y6uQg7Z077iog|https://lh3.googleusercontent.com/p/AF1QipOWkdHeUUSa6YBywsVNSd7TSZbS7E0BP3wFtzIX|https://lh3.googleusercontent.com/p/AF1QipMC7vRKap2fwRZbqIcx-SzmG5nAy0u2nRMRcnBZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyu654ZkKvb2BmH9ccArCJzwU3-_WpR66XZQFF5PffdNTtaByip4zbKm4oTBJuASJtFQ1D4PXOJXDb9OSt4BQYMBlTWucPXI_BaKK_XdIKUHMOgyxaWUmQ_f_9blzM4SC7vEwplCA|https://lh3.googleusercontent.com/p/AF1QipOBHzQAZxMqnkKE_QuP5ZZjfCD1jKuV7PHvYghe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWK5Lil4S613t-TlAIj5fyYNDFyssCfvBDsK3mn7qFsdW1RYGT8jhVQ0Ra4VU3T3P_tctK-isWRRYH75RIOZ5VgyW-3q1RsXDQ62U0fsSQCCsEpdkE6Mr0HdrQK0qSjJm-3bPv6Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQfxC-i1hoi8Ryc3YzZpaIHsFLWJxgpSWE_cGNxeAf1AZszltyh5GFDHTiAn6EKXTY16WYI2InQYzrSCvshrn2T5n-7D3qKXwN890sFErJKAvjF9gjsZ-Uvxneu8KqcrP70KZC3Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyv3bOysGPKsZTBIJessOOT_DXEqdI1D_D6Qd4QWLwpMMZ_nydnkZsPBFNVXQVnGgITbXjCGlL7xn5HSJLmDaNsgDAt6L1m1G-9D5iucFXy9tv2xS7J63ZbLEdUJgUGlxedJkY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOA9GCFBMcJEmzeFAWGYBJyJdeV4icEPpyvfQjru-5b3x47M112NMv-OUStrb4kYK3EeYtMhmFGJ7HX3JAIF9QlMCiCTtX1sDGrUu_OOQRdooQ2UhkI5N3mdprhr-Ffddhb_Mx,http://www.bangkokspabeautycenter.com/,Bangkok Spa Beauty And Massage Center,"imm 1, 5 Rue de Damas, Kénitra","Services
bangkokspabeautycenter.com","4,4",0715-399556
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxR7kce_lGFqcmUgVGshxXatxrmd0v_OI4dXm_203DU3luXL_z3MT0fZ-EJSgOTLecYHKBHJY5Bw49TWF4L6zY54Xo2_JVsEOahFv4J9vKn858cH6bgFUww25unh9fued0NlvN-4g,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxR7kce_lGFqcmUgVGshxXatxrmd0v_OI4dXm_203DU3luXL_z3MT0fZ-EJSgOTLecYHKBHJY5Bw49TWF4L6zY54Xo2_JVsEOahFv4J9vKn858cH6bgFUww25unh9fued0NlvN-4g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZZTbVsgfGwAFHS1oMMTBbc5h_skBrGgHfMNdAsbSDVJPdDM2UX7LsM-JfDLudfYiCKHnrBY5Fy8w2mZmsEyoU7nRNykn6v5Dv6KL2jYiNBq0jM-mJxh_JmHTgE8YdQbYJ7saHSg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsBou56dHgURVSZ92QzDZwJPPWuWFFDwM-n1TBlhpGViocCjrV1ZqTkyPUdS6weLzVM26Al5SdA1POCwe3AopOKYuOBBPLbrNasd56e8HFHkn4gvxoknxeD92hfhxQPDuKUEGA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwEnwZqAUtAmh0NCYnJadTjTOVYtFSHfHeOBMcDHPOprF0p4_SZVz6hUpxJfOOKgnokfvWzW-LOc_ZkAwqmDYwK4b2T7R2xmzxT4OQJWK5yOceNN1Bh4K6AQ5JFy34cniHwdoF_cg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTnxcXS-GWdlTWAl1dV_m1GVMSmVlAk1s1fCRfz8jsGrvwaalRUDXcm3qvRrvNenpX8N72vE8md334LriQfqRh3Eeq2-DoMjOAAfJzyWHj6HebkM90VexlLlXo7AY5ZGGBUWsmyA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyL8SJwwgzcqgssu0e0fJA0FEajZl0GYxElAM7pG2_GngLw3_9IyI3j5WEPO1yXlOs8bsYl0LNJiDNeSHgdlxh2RWzlRng4aTxZvfQ_zKFn0nF--v9nEFigQVpklGdpJGlWUVrx|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2E_UvgI5DIJrWiBSvPzGcq5IJzk-vN8BryQHR2AyjmWKRvncc1RRXaqu-iRa8qTh4okUh_6-DDtOLFPRHBEI9cu8ANzoHvqp0jAPfX50S8hTuxZwWImICWKUFfTDUPcNljkE,https://instagram.com/serena_spa_kenitra?igshid=YmMyMTA2M2Y=,"Serena Spa : Hammam, Coiffure, Esthétique & Massage.",N/A,N/A,"3,7",0636-937528
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4AIYLSGgubPmza214FhUxpCnNlFgAHozk7hbUntn6BbZvvNrHZIlzJJw_Cm3Y5LIZCxMCE1zN1okfw8uqq6ejDa1kyDrk-LrUR1TjgpeteA7Tu8QxkxQ6gO96zQ0w1W8S4Y70,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4AIYLSGgubPmza214FhUxpCnNlFgAHozk7hbUntn6BbZvvNrHZIlzJJw_Cm3Y5LIZCxMCE1zN1okfw8uqq6ejDa1kyDrk-LrUR1TjgpeteA7Tu8QxkxQ6gO96zQ0w1W8S4Y70,https://www.facebook.com/BenjallalSPA/,Benjallal SPA,"N°1, Angle rue Yaacoub el mansour et, Rue Moulay Abdelhafid, Kénitra",N/A,"3,0",05373-24515
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyp37nowPL3Wsoxu6VoYLXqnQpH9e8QuWUCDaQ9-OyUh1laVHwecpnnJ6KuXu5gskCYfSGnQ8VQlPJDrPI8ni1kVX0M7mvSzmGo8SADLcsbqPXlUqGVBQAaKhYm1-AWZ-02cgcJcQ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyp37nowPL3Wsoxu6VoYLXqnQpH9e8QuWUCDaQ9-OyUh1laVHwecpnnJ6KuXu5gskCYfSGnQ8VQlPJDrPI8ni1kVX0M7mvSzmGo8SADLcsbqPXlUqGVBQAaKhYm1-AWZ-02cgcJcQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyoZNMEs6n10aO7X9b4NyZux4GFG1r6jEx1SX48VR4kSbGEyvfG9GlLumf4ZZSQlIQTwCFt379OBhdlY0SRs-ssicfxlNTrl3-bX88aQU8w_doQfleTJsNJRJfreV0PW2WWink,N/A,royal beauty center spa,"Angle, rue ahmed chawki et mellilia Magasin n°, Kénitra",N/A,"4,6",0667-657514
