phone,title,rating,images,website,image,description,location
0658-312818,💈The Barber Shop 💈,"4,4",https://lh3.googleusercontent.com/p/AF1QipMdAlyAIVwB2kmRfD-Aoe2aWeIWIHvBksWhOBc6|https://lh3.googleusercontent.com/p/AF1QipPuo5VNvemFkiuVK2hpeb2jruC_fxaxVSYFIyww|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwGfnCJ8cmtyBXNeFukNySL91NARvnwOedx9FWE-fB_Qvb4tf2z4UQ0guYuirHfqwJKsQi_IS-pW3cjt-JBY0575isepSBvx6wkCr5iNKWaiWoJH98SuWitgJGA2KolNUyJjK0|https://lh3.googleusercontent.com/p/AF1QipMVnOVn2g2WuXAAF0jf584QloNmnn6-6Gc8laX6|https://lh3.googleusercontent.com/p/AF1QipOzbt4knRfeF8-4MUEKazedmIVLupY8iboKsyxD|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHn8YlOxqUOB-Z5kZ5jlzRZaqjOwt5-pW7wDZmPD_tBUFy_dqojeUOV-4VYu3-9qmF6jbzOTxMB4pKE2DbOV2QrcBTKl7KDrdwrfacJ0AkWQQVt3ti0vgCB2e8GLLJveKExAhA|https://lh3.googleusercontent.com/p/AF1QipPRAWRj_dH-bAXNtZfZUjcK3OVBXuOtcqohZ1or|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBwnVXMpof-LiB8uRUDITyHheIj1fdrDXB1h45aBRe3bbrn0uxugqdtNfNeX_H6xawCz9blXqgeFlm0uBBJnb7YS3l9EM3RA2_iA7oufWXW6Y_j4k0lN6_LXYHpfP9vXKf-9Q2Qg,N/A,https://lh3.googleusercontent.com/p/AF1QipMdAlyAIVwB2kmRfD-Aoe2aWeIWIHvBksWhOBc6,N/A,"Ave Sidi Mohammed, Nador"
05363-20788,Barber Shop Berlin,"4,4",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6qCwmyfQWz2BaJ9--O-anPdm6N8fHHKoCa3KlM6fPTsjp2dWxqsSi00HizcF6JAKuMXJZK4dW6dR-ww0dGfYlkIGQiNJ2aLhp2JNcG7Us59gF28TolRS66EimfdcSj-1uOa0btA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-rBH9waxbBmiwEYfMLwr5H7j5XMBuIxVXjsf7F9xUFHiXncJawfrFj9mR31JZ7nrHv0vBvyE02_TeqIKPZJ5_fXTlxniLsANGUWJu3VXPDmbsHxYlbtctlX4W0F6jBjXxhDQ1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyz2qA4sLVqYgSgUMQodSZIUnGBuyifCqh-P1WLzvSriPP3XLYW8Ut7Qp-IkMT6bFQk_KUZLqQzWm89KwL1fOKXllEXPNOxIL5MgAk379pYViklnZo8k3Y0Xvd8DOC2AU-v21w_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz3hA9nS9F1pDv6gpWUyZ_bLvsqr5X1oXuYOEuUK4z-4wnuRZ6HpSK0nHQsqs2CWolnV2tSysa-iS38i9W0s53jVCILyQBKz63r6kSSIOKtRCyVFz4bpD1GRy9j5uh6_GAoBo5k|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFQXaa_5nQU5dbMMOnjyuIhy5t0GNEyFSZjvB54NHSxdoFT4Rq5e7GPcWbMWg7mYsVpbD_ahWRoyOT3JWygGCWoLZPjgwtOvEoSQsG9qAeAxApmtTVc5WzV9TtCH75wBP7vBW0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcbttFa7mbGcZ2nupdvNk9DGOc-oqBAB6keTO-YzI7PwdhME22xWT1sBrn-JYpmKDkc4eWxR96m8_lJHxOShHhF8pU_Z2CtabSZvFoTqgFZeAHOPNGvlGGciwiVoMiUGLjB_1l|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSydtT9h_Rew3LGtGhZUuzfW8W9OXZ6y9GO-Mrmppsl1_PXz8ZSYzFyiALHj0zflfj78ix-Vqa_s9FfIw6PEiC9R-7CEMgZUVnmM2pRu3V52QhzhS-xUmCDUaO9DQ0E_T9I4dsHn|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyutLPZFUniuF2pRBc5MFeBgiK-6FRRxJy_-qRnxjZvC-6rffglrXGGGSSdVPDuCoMHiyQPYtNon4uLJFktOH_YTnmFUkf6Znk2Yw3BOeOK7f6N29VGbwv7lQTfcIpjxNHw8UHb|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxr53T8Frna2Od9CrNYBtcTX-K1y4QPc1taWwNjChunuM6_qRbjZ9UXAKrdntHIbQGxPPdqYelCEbpmw9L28lQDglPpPl6jSSwvyothNmqJXBnBTZ4OK8swUGzwzN9x5tZnu_T8UQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlNyAYAlaM5tb99rHjlaLk2_zhT30Oi5wPVljbT6yWkb56ku7pKkRc46jfYtklPXcdBKFBglmrPwt5dXCqQTXYKeJvMUNRiEC9eqSDZSkuH98SHSf2rm-rVbq0uphMsNenzws|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSysjiAEXcefSnkqLPKVSjoJ5K5nWDx38qPi7CbDnZ9kf7jXkCBWU8JpdZp2q30SdjZw_r4S6NG7NEL-NFgtjJRcwXxBzxi7Xn5qm7j5KLXpjkOkbTGSi8IDpFiRRtPTkvAIleio|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwf4mFT1KYZhdogVXxbrAx4vXP7b8BiE3v2WPIepnagQf4EbHAEsFRJn1vpJDJgxcztlrMjV2JkyqG1NA58DdgtOlfBwOGiAWiXM46PRmRshOkjA_fAIyAo72HRlOlHVaqKjdeSVg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2uZVD02erEieakkPK6ZNCZQWSePL7iZhfaJBJMen2PeG86tEyaC3h_f_W1PSc59L6cLpRUjThZS-eDRU4vRXGKYc1u8k1swRsgEAM9VOK4uE7YvbanwCwhrXecnHchN-VJBAVug|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxtJJMwZIRiv12AXCVm7RjC73yvd6ZR1KnquJk_gr7CJ62JgJbzq1wuMJrOwWbCgm7fSEkSM_tLMdsZDKD58D0nsub9imSPE_U6xs3jpE6thQ0uMbxFMjJWo6QCYfH_a_GpYn-26A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzON3r8y53lA8na3L_Rhq-eTFSCYpGvqOaJ6x8sHK2Dwk9LlboJpf8YvIYg7q2v66lE4XV7xsOvH-40rpRvOHUbJfB66EdyPMKv9uhg8mvlFnIBBJik4ZJ9NbKOLbQJHjLFypbvkA,https://instagram.com/barbershop.berlin?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6qCwmyfQWz2BaJ9--O-anPdm6N8fHHKoCa3KlM6fPTsjp2dWxqsSi00HizcF6JAKuMXJZK4dW6dR-ww0dGfYlkIGQiNJ2aLhp2JNcG7Us59gF28TolRS66EimfdcSj-1uOa0btA,N/A,"Barbershop Berlin, 42 Rue Bruxelles, Nador 62000"
0603-164206,Barbershop Art Of Hair Nador,"4,8",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHuVBmkBBUpQM3VyyiYFsfPtqmybyV5izF4IxIWX8qWeZi8AhoyT_ZvNNhS-wZJXvD_QPMA0EzHkTfrnmekSg9BtrWdKQkOL2WMFPH7w-8f8y6BxklzIWsVyyJ3exJj9A1DHnu_TR1jwPP|https://lh3.googleusercontent.com/p/AF1QipMyLzEWrK61KoMpNk1DQ1CdhAkYjfJ8cB30REO2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOqw6pDWDI3FJmk35OeYPaWoTDFzPkaHtB4V-IYROEZ2Ps1sfJdaWsVqKnRcU_8EJkHz5Ifnfr4rRVXEotI7d0TSEV7FsdkKvqW7-GkArAkoIjN7R0B68IVnjBAEoVulIhwUUAexXY821R|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwd8ZWzLdCvY-jpbrxTPwVu8uZx9kT0C58t9y7QSguv3AMTu-pBLSiWIvu_OZqXAcaSE7f_kKlx8p0lJvIPD6rV5jmaCGhXy2hbwV5ZymhA6HYCECSsbkSMRdzfA35LOv2Hnjm4AmiOrHg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzkbWW_YcSd4v1YHa_ZokgOGjBM0q_DjHVBYEYj-mGSWxnRb9Yeq1So7xZO2KDQJmPMDYUXrYILwpCt1Jmc_-GAPqIAAYOqWviQ5iZph_vWM1REC9qCLrDkZdU_FVduvwHE08fdspVs9A0J|https://lh3.googleusercontent.com/p/AF1QipMOILcHJDGbrFMUHDoc2z1KOx27GkUuISb7A7N8|https://lh3.googleusercontent.com/p/AF1QipN4uP1_wLtyMrBXXLJHhgRXYzAp55JzSItf-KnS,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHuVBmkBBUpQM3VyyiYFsfPtqmybyV5izF4IxIWX8qWeZi8AhoyT_ZvNNhS-wZJXvD_QPMA0EzHkTfrnmekSg9BtrWdKQkOL2WMFPH7w-8f8y6BxklzIWsVyyJ3exJj9A1DHnu_TR1jwPP,N/A,"N3, Bloc Fatima El Fihria, Rue Al-Arin Sheikh, Nador 62000"
0622-790948,المقص الذهبي,N/A,,https://www.instagram.com/thebarber.gold?igsh=NDZhc2ZmdHo2NXJw,N/A,N/A,"Ave Des Far, Nador"
0626-375558,Barber Nour,"4,9",https://lh3.googleusercontent.com/p/AF1QipMtcN9sOoLU-Gz61zPdn3iG5pyFOiMwnu8GkTfl,N/A,https://lh3.googleusercontent.com/p/AF1QipMtcN9sOoLU-Gz61zPdn3iG5pyFOiMwnu8GkTfl,N/A,"N° 611 Av. Hassan I, Nador 62010"
0667-304544,Barbershop Najim,"4,7",https://lh3.googleusercontent.com/p/AF1QipMv4R7hkRCdtLpWlng6_3tx4VmYBtbTo3i24ahD|https://lh3.googleusercontent.com/p/AF1QipMjNdoMjh2Vcyy9NETWV-w6X7D6wBnPqVgKXkl4|https://lh3.googleusercontent.com/p/AF1QipOymK5nVnkF03JtwBZvopRZvl2NBMGEfZlrZnFA|https://lh3.googleusercontent.com/p/AF1QipOt9RRlin-A5opxjncAbQtR-Zb8WtCYl8YgGT0n|https://lh3.googleusercontent.com/p/AF1QipNYEX87H6I70JwC1LxRr0p1MaqK6ToGEyt3ksC6|https://lh3.googleusercontent.com/p/AF1QipMnEGYgFbPQRaWZisLWCQRlNPEb2gMGkKnqdfMl|https://lh3.googleusercontent.com/p/AF1QipNjU7fcTbqv-UnyxdDJ6cF5piITsCbXHnO2AOky|https://lh3.googleusercontent.com/p/AF1QipNToHZi3TddhFaqW1ygCisOQ3ZORQGkIO2h4YzC|https://lh3.googleusercontent.com/p/AF1QipPAKzOu1PsMypP6QrjsPxgH7ilGBmVgGsXc9uBk|https://lh3.googleusercontent.com/p/AF1QipN6yxpsxPTRTkckJcyZ86O098ODaD-oITr_EF-J|https://lh3.googleusercontent.com/p/AF1QipNmCIpDVMwmx82qlaJa-Rvp8sDLOzzmqj8bGZSS|https://lh3.googleusercontent.com/p/AF1QipPwEOLR3CT0B79Cc3sV1A04UIff_Vmv9b36hr72|https://lh3.googleusercontent.com/p/AF1QipNjjiocZpVldCRvk3JAm2gPWyq8aJvp7pI6If9H|https://lh3.googleusercontent.com/p/AF1QipNUmQkOA4SwHoC90elZu6f0cGDWkr8nw5bQqMvi|https://lh3.googleusercontent.com/p/AF1QipMYHZlrOs3k_EFD_5JYMIggkdpsAqlBdK22TqH3|https://lh3.googleusercontent.com/p/AF1QipN72cYbplirQu_sLiGpHQ_Br15Ebs6NR-JjCXau|https://lh3.googleusercontent.com/p/AF1QipPYBbWhtf0e9l9_SmEK2dbQt5zcmgOIgDLwY0gl|https://lh3.googleusercontent.com/p/AF1QipOi0-aPiGev-qI6VjVg9136yvsQ_E9ocF3A-MX-|https://lh3.googleusercontent.com/p/AF1QipP_s4yYPUKtthdkq3c_Ta370XG0XYrMI2FqWbhB|https://lh3.googleusercontent.com/p/AF1QipPGrYo1R0P39JTWVDk4xLNYG-0OVBo65E1I4Cjg,N/A,https://lh3.googleusercontent.com/p/AF1QipMv4R7hkRCdtLpWlng6_3tx4VmYBtbTo3i24ahD,S'identifie comme géré par une femme,"N227, LOT EL BOUSTANE, Nador 62000"
N/A,"Barber shop, salon de coiffure Homme صالون الحلاقة للرجال","4,3",https://lh3.googleusercontent.com/p/AF1QipMW6pXpVhskej471yUFJbVHD5PjCGSCmJSbmmbo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4FletsN_c_MUryibJUIOtxtv3HqkCWwtA1okwzVe2Oa_aV56FdqkNbasFYQT-M1tvNrxS7BQuYpOb98Acbgj_Er9gBgACG1FJOFqmoPbkl_tEchVRn-5EBnpq42mzRLaMkXa8|https://lh3.googleusercontent.com/p/AF1QipMtKP0FyJ5RslyvXF7DKedM2-q24XL9gSX5wMc3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxr7posDnClnxFSzT6Ri_tVxR-PoTMchx9H-Zx9jgbtOOsxrluOYknVz7T1S9gKdilQaURif0vMrkimJ_yjknOoJ6d7Toh4-ebsrm-srZwO4sK0h6B871Fte-wybz89vR0pCiCmlG3AqRU,N/A,https://lh3.googleusercontent.com/p/AF1QipMW6pXpVhskej471yUFJbVHD5PjCGSCmJSbmmbo,N/A,"N° 6 Rue Nador, Rabat"
0666-066686,Ajmal Barber,"5,0",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz52AoYDwjm4Kl92BwxAlkDscrP-D80Nfyd0wdCusVx372o2IbNwnv32H7m3-q0vYVkvpJ9u1sVyq1PBCYeV5w-GWqkgXiZWK1YN1_Ba7jZrt9dhDvLo4-G_hoGwlahEYJ_oQLG|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIzRb90Vgycj8bVPC4Kr3XHeIfVBo4m224SxWGCK6hByBcffzxoxYXmDZ5ceSHLsd2CBjtN3V6hanunB5r96Nyuy1ewAxlgU-f-1hNisquIatbZjKzekxeb7vKZ1YkwG1hhoYp|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYqzYJqksTwH2fHUtIeEr_PJ-otIGoDJiI-syabP_PYz6DS8oJsDp7cSWNMqnSIZPRPpfmOWay10ALK02MBcZChudmawjpAhWi3EW282o0Esl0MjeBpTk3DEd3Ah2MUxtniNwM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcBCAIVNrwV6GJmTSYxW2dvuBwL9don_7FXNTtgURhOgyR392VcIPEdhzztbrnjFavPaPDzN15NktFaY2D7f26vlPptKk_F1JZVsHXt8OKBtKtxqR4liuRT3OYw1WFuy29ldo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWk7bdvRqTi8bW3xGbN3uaJxqGCwwomIFPLZmFhctJaQ_vIKODzqrjKrQaO7JuaQQL99lfR5EcpwkrM6pwiSVAVbFPH-K8H6yyH67VBK9nDB7UHsHJ9oKnGt1fzemTUDeHGpEB0ln0wiY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxXdwrMQe1oPuZCjjRko-p4QCKDZaYpPtHOqpaW3_sFzHOGyP7_BQjOHYSflvrYePApJznp5uppanLGQQIyd8XL58jXq1E4npGUHoRAvjmgctgxvrZEKH92xUIoZERm7gYoS-wV|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5fuBpyndGydY9zbGd-PizTrifR7WNuCSJ3afZpAdPjy88uztqdd5b660w5EJvT137DmWVqCZxiytUylsS3zFZ4uXtnQ9Oqn7f7U-zNq5JONYSYc0diWxIaZWp_3CGJQxvJJ4Q,https://www.instagram.com/ajmal_barber?igsh=eTZyaXR2ZWlsdg==&utm_source=qr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz52AoYDwjm4Kl92BwxAlkDscrP-D80Nfyd0wdCusVx372o2IbNwnv32H7m3-q0vYVkvpJ9u1sVyq1PBCYeV5w-GWqkgXiZWK1YN1_Ba7jZrt9dhDvLo4-G_hoGwlahEYJ_oQLG,N/A,"53GC+9H6, Nador"
0680-302698,BARBER KING BARBERSHOP,"2,3",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywNQWa2wjm30l7z2ze1r5ygf6V14EvQ02z6Cxc8jqzLZapmU6txDd5miJxS9BTP_KsPKeacrPKMPaWf0XN_a9tQr-L2CRM6q8gONUJdjZ2rR3VPVCmN5TA5OkwLaNuFcQJG7dUaPh86owM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXuM8xaOLYuBR_T_fhlLtKRmO24vMD0eMumfx5d69kqLrnF5LQBGEm6-Yoai92j6UZCenSGDMPZyCZtJ0iliODmDisSNJ_czWQRcMfjscmk7-33Y4poexwW9Xl7Hed5IPGvo-r-HSs7WLP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFy-0MPa1FyCvvKpGO4XeJmgn-g86sQisM_P5JhFQ8vo2mP6FV5V-_YrPNnn-KzRiaPWrV0iNSagp9bpYt21Xvze0uCS5Dke5_RnxWOhPpTkMu79cD0XvefDG-B6k1nNkIKUt0,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywNQWa2wjm30l7z2ze1r5ygf6V14EvQ02z6Cxc8jqzLZapmU6txDd5miJxS9BTP_KsPKeacrPKMPaWf0XN_a9tQr-L2CRM6q8gONUJdjZ2rR3VPVCmN5TA5OkwLaNuFcQJG7dUaPh86owM,N/A,"AVENUE SIDI MOHAMMED, N176, LAARASSI, Nador 62010"
N/A,Netherlands barber,"5,0",https://lh3.googleusercontent.com/p/AF1QipN1I-exvT1Dk3-_HF4hxvd6IUHCTSeru_LbCJrZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzeqKYgfDDewowYT3bhIFyeBEElwl1z3vbSFXtpEHx-vwGeBvfKvLsY_3CM6F84ihraLK8rkqlVi0gMyD4wAgFHDE4yPXdmDvkbhlwF3hewVfDvb6NBGNdQNinghM8cFt2XSDXkRg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzC3HQA9nosJ0N7eaHVE4mt1K5LiBHv6JMGlVSYkN0w_H3FRL8y73LSvV4wYvY2Ng3uPXzCU55DWHKmznhIMhBPlPtO2f135q2M_T9EhOqrwR71w-o5WLn4yGBVtiopkbr9btswrA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwucw5t8DIor6HgmBwA-CyKoRyKOHV11bEhfwzaxVIpyqMyRa_n1FGacfT767gmuCnPDdO11Qx_AYX-mYpx92sEc3KDrA_wDZIEpFif7KtwUlamnK1b0iBWEl3Dqyyq4mKI5B-l|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJiiKddFJElKsllKor-5rNNNocoBr_Ci1XBFgj3L0tp0V_l3hU8ih0vwNk5g38I_4yTjR3U0p0Jcm2cW7gPuK866fkYb8iglagFXO3jRWaQuGjUvzQzizYewaZn7WtwjRJn924|https://lh3.googleusercontent.com/p/AF1QipNYejcys_GBaH01P-7n6LDHObkcbp2U-yDNhKT4|https://lh3.googleusercontent.com/p/AF1QipM_ey3uhMdreFPWFVVI2aXEwv0BCAQUvu9knWbr,N/A,https://lh3.googleusercontent.com/p/AF1QipN1I-exvT1Dk3-_HF4hxvd6IUHCTSeru_LbCJrZ,N/A,"nr 10, Arrid 3 rue 321, Nador 62000"
