description,title,website,rating,images,location,image,phone
N/A,ANEL Beauty Center,N/A,"4,4",https://lh3.googleusercontent.com/p/AF1QipMq2QsNuG_wbntFnsNrim_GjM0HRi3KK7xIx7yC|https://lh3.googleusercontent.com/p/AF1QipNMnfwP85Omz_ja0lvhpbvBLPJgHiIsAS7fDs95|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqeGW5yctqhTfNJgNlbMaqSBwEejVD1vsx5aBLZZ0ii-xa1QcK_ttsV8D-FnL9XmhppuOMy5PugKrwhl8qYx-ZcuUhmnQp5s-4SKZOv-BZLK_awrBx3gnMJaZiQt2MNOVCxiKJbg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxELzQnv0uZ7ItF1weaDod2IgOs-kfcEuJ3KErqPh6ZFgAvhr6eN2g8VdwuPs5hdZTN6Ap5KRqaZ4TNrT5BXZ-C0J1S9zFg7c0bkUyt7U7cgdnevhImz53sKU0Uee7h71-2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFbkVffH9PtqE8c3DpbCSOZixaaBfLf_vJgE5M7CQUYw163KjsjRHDZLqxdnzvHdwTJc26jSaTsbXIBb68pJiFf4xBCUed148aVLaF6OLZ3YE58KarTP0Wh4pyqRuNIuBX10TD|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgc1L8oZuAfezh4LuQrlkEcLmBNnesLA4L007uD3u3fE5IkG5wG8sNmVvjjj5KaaIz_TAcJziF2u_DqrKRYBA021uyChfWuLpS4aWyTVpkZBlr1YPGqREAeKmO869h8J3PK3d6p1sSosY8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2txev29wqxd0MdcugxBwmqdbpk--WbigYhEX0XmkQJDpwPi3fbVb7jAye72bi3H6p1W_YAlY7VZUCRHtPlkc4DTcL718a-rfr-HgY79rmFHCGr2lvxgP_XlkSwVERyoZ2kBUJXg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzciq1TehzbMI9Rp0A7rwgETcjd6tx4dlAmoJI2i5K_Xtnhc8esbyRt_bNtfYn8Vqvs1mJ8u4Hmg_bXdW-FzICKFF1NVr09ZdKzXo9SUsBmyzsEjIsLC2-b8k15KeP2ZrWZMkS9yw|https://lh3.googleusercontent.com/p/AF1QipN1QMGpnUrBi46LR4ErPoSs34FbkpNc7HQbsKEO,"N° 237 Bd SAKIA EL HAMRA, Nador 62000",https://lh3.googleusercontent.com/p/AF1QipMq2QsNuG_wbntFnsNrim_GjM0HRi3KK7xIx7yC,0699-999237
N/A,Salon Beautiful de Coiffure & Ésthetique,N/A,"4,3",https://lh3.googleusercontent.com/p/AF1QipMFBuIFGBLrynnUiUwVd-uL7cIHfNNkzsVn9ao|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIn7w9x9c4vnWs4n7yTxufr4bCxIFtGmKNr4ee-IOa5_Cb0l5iIJRKBrVV5JNgpIVT_bNK8o1iYJ6lKjW1r0Mmy0smGDnxxKWqL2EDw4G6Y_7lL1QM0P3xLd4EK0R86Jam4dD3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyUXyF-ghZdBLGhjM4jw7VtFCLhUZq8Qjw8yjFDmIWr1WPPjPE1rqSSXxpH6xQqbBi-9_h7_eMjK4Lmuz5_tXPdh0yrMHPhXuiqSs2tI3E3ZvASXou_Z2fMzNf8VVnc4Ce7Njff|https://lh3.googleusercontent.com/p/AF1QipMbI5Wm73-WJSDiLNyrE5FftKxqCWz0cbPFes0|https://lh3.googleusercontent.com/p/AF1QipMwObMh9IbV96eCNnCKjkhkjnzydxyFcuV6CEY|https://lh3.googleusercontent.com/p/AF1QipNhGu9geP9qkqPJZdfw0vJO9Bc2KqnxGU10uQw|https://lh3.googleusercontent.com/p/AF1QipP-QPDrAU69BaDzO5NbaHUg8aEJz8uWRqJFU28|https://lh3.googleusercontent.com/p/AF1QipOl9AdGX5TwnIjkAex-MAFOPplfBQMXGTQInpk|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyrVrLvCR2z9zyYRr6k0yaKHHOusIY9HGDkSbdrH6FZMg4m4nXupMG55imWIh6KuUF0IvtGgJf5jTPlbgBae03lN2opKUT6Ycmh0Zexrb0VXHFr2oU_NNDZ7bXbgNtnP5Kq8aI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZVk-BN29SzXkjYT87b_hfVMEbHQYafPpjVBDAnXMD2GbS7vGgj1DbuDjwqiEBlIs1CeSEubbwlUYGOe_O2w9WqzxibMDBg3hFrvGE05jkBvjqAxX70LdjzJZv7GQVrrgejJLAvg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyeCjD2bT3QklC00PEIpBZCVUpOxgwQK6gcSyFFoY0JsAgC7YP7-G5-w0o0ZTXfCI6tW8qJWVerMsP0xtO38kcx-2WwEwwgZzL1ycTGNVUkF3czjyEmDhml43xKUpuHsMrjfY7O|https://lh3.googleusercontent.com/p/AF1QipPhZDVyAx2Lmf-PFvnNsgbim3hKt89CpYxnEMY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx4FfzQpsJe3AfORAINKUxXq78TWGuz1DLYufdPKNfu-d6efN1XUZ-T-J9JmW6qk70W3qgkXH9bvkUrO2YTdGe_yskjfMhq3BrO8frguH-hny1NEb_irJpnV9zPIa_oNi7oa1jUAw,"Av. EL FARABI, Nador",https://lh3.googleusercontent.com/p/AF1QipMFBuIFGBLrynnUiUwVd-uL7cIHfNNkzsVn9ao,0698-690980
S'identifie comme géré par une femme,Salon l’avenir perfct nador,N/A,"4,6",https://lh3.googleusercontent.com/p/AF1QipN2KRibHMvzibHIB-ZdPLcO8QhY0bYoUSJxXBMq|https://lh3.googleusercontent.com/p/AF1QipO_whVsp6bCflpIalHTF2Z8-me2u6m0zebieaB1|https://lh3.googleusercontent.com/p/AF1QipMDNl0yWyBgGZYmEdYe-GV0u9EgptBt0d7g8eQZ|https://lh3.googleusercontent.com/p/AF1QipNLOQzHD8eaamrJq4mscngwvi7Q3aWDMMATAZiU|https://lh3.googleusercontent.com/p/AF1QipOu7S8VD5KG7AT5EyZP9kZennb3FdDAF0nDQ7BK|https://lh3.googleusercontent.com/p/AF1QipPxgKzv_aYWaaB6iCsSSfDoXUQg4L_FPln4GeS5|https://lh3.googleusercontent.com/p/AF1QipN-LO9SJcpKan2ehFhUIgYnMgjQm_aIHV0DuA6P|https://lh3.googleusercontent.com/p/AF1QipPgbvgMuKTNLw7G1IrN6Pz3LDG149pVBmeNojTG,"426 Av. Hassan I, Nador",https://lh3.googleusercontent.com/p/AF1QipN2KRibHMvzibHIB-ZdPLcO8QhY0bYoUSJxXBMq,0670-494864
N/A,Barber Nour,N/A,"4,9",https://lh3.googleusercontent.com/p/AF1QipMtcN9sOoLU-Gz61zPdn3iG5pyFOiMwnu8GkTfl,"N° 611 Av. Hassan I, Nador 62010",https://lh3.googleusercontent.com/p/AF1QipMtcN9sOoLU-Gz61zPdn3iG5pyFOiMwnu8GkTfl,0626-375558
N/A,NABIL COIFFURE ET ESTHÉTIQUE,N/A,"4,8",https://lh3.googleusercontent.com/p/AF1QipO71Ct0KZYkJ8M2g2c9AP4TrJ5RFYkVcYtZiHT2|https://lh3.googleusercontent.com/p/AF1QipN4yMN3wQNskamNsA-PHugxbLaZew1bbtT7aBny|https://lh3.googleusercontent.com/p/AF1QipO3RuBb8Iy3YKk5EqamN1n2jVc4q1SnOU4f15m3|https://lh3.googleusercontent.com/p/AF1QipNfFZma7DZXHjytYtvxKG0qxkuO5qhgjLhdZUme|https://lh3.googleusercontent.com/p/AF1QipMqT0hniyn78XuW-fKJiCAEWDOUA8_8jt1ABfVN|https://lh3.googleusercontent.com/p/AF1QipMJhsJfzENhwFnEDzO5bgyV66duXebvgQAmsftX|https://lh3.googleusercontent.com/p/AF1QipPgRt6f-B0CuiIk5XCZbF6aTQC0CDqUF5riHO6u|https://lh3.googleusercontent.com/p/AF1QipNrwwHF6lcSvSSG4_qTfCBpYQroAKdURQiyQnRg|https://lh3.googleusercontent.com/p/AF1QipOskuLFOVDG5MIiZXJX9L_6cWWBazLWupPC8s_p|https://lh3.googleusercontent.com/p/AF1QipPlPp2RBbzK7l8BywRMlk6sYe6gKdBIrSgF577u|https://lh3.googleusercontent.com/p/AF1QipMuPLzdBnNS8evM9BpbE-NHfNe9J7sC6K92LC_3|https://lh3.googleusercontent.com/p/AF1QipMO_8jsLtnCDENaqXsd5tZF4_TCoHIYFa34TsK9|https://lh3.googleusercontent.com/p/AF1QipO5hndEPtME6hn99-UqcbAVkJM4X-s9omNGjj8v,"254 Av. Hassan I, Nador 62000",https://lh3.googleusercontent.com/p/AF1QipO71Ct0KZYkJ8M2g2c9AP4TrJ5RFYkVcYtZiHT2,0608-009081
S'identifie comme géré par une femme,Ritaj Beauty,N/A,"4,8",https://lh3.googleusercontent.com/p/AF1QipOCtikZTSAIj_F1Gv-QWoOuG4VJ9VX2UuCXlefT|https://lh3.googleusercontent.com/p/AF1QipMdFcqWmQtQ8JhMX0WwCNKmsAAANFieghtQoEkM|https://lh3.googleusercontent.com/p/AF1QipMA1_TPDUtq4X40BHmUdOHAHskKuQNnjcbf3Njs|https://lh3.googleusercontent.com/p/AF1QipMYfG_7DY45RF8b3-UXkb197Nb6bzLKkMDlOOo4|https://lh3.googleusercontent.com/p/AF1QipMaytvhreuMwhVLYsI8YluTGLfjFJ0wghNaBS5A|https://lh3.googleusercontent.com/p/AF1QipNlB3CQB2gWMwNJzIm-fFUL0Q9wTC15qJdLleQQ|https://lh3.googleusercontent.com/p/AF1QipMJd-kMDhpTRoSmRxKDBwygm0o9M8rrRU11hp3c|https://lh3.googleusercontent.com/p/AF1QipNN4jnyWX7FKepefWOsjH4Dw3K1TbDlR0ueDdfi|https://lh3.googleusercontent.com/p/AF1QipOw9GsC4SDyc5tAmZ8ATT8CmMB0Dwwy4vTxkyQO|https://lh3.googleusercontent.com/p/AF1QipMT8Ox5TZnMgOUmaU8NKMtTU3hpIe9Tck98bWPs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgi2UMLOsc8zuB-eFdfnA99RidI3zdS2-crVaTXrix3Yp9fJbpxHDrG6HjYSe4AD6mZW5lhHkChuK5gUExMOgxlyBzFEndJ4bTx4vK6aX2glTLcdQRPhc-1oeHcd1RZSktwc6beKXIGCU|https://lh3.googleusercontent.com/p/AF1QipPS1z9HSGpoWbVFLCJtyumVTNjut1NtOKqeLXX5|https://lh3.googleusercontent.com/p/AF1QipPRPKq-73GM4VoLoigWo_VVs7cqeLKnTjxEtNbQ|https://lh3.googleusercontent.com/p/AF1QipPrAYzteP7NyfL1yzWOOJhQSqXZ4KokW8_-BPjG|https://lh3.googleusercontent.com/p/AF1QipOEn4cIQ23yIe1MEXv4jYTK0PvlMY2h_SRrNUik|https://lh3.googleusercontent.com/p/AF1QipNna_raDeJpSXSPPFlZgWV3V0rdY0V0QMjzGcfW|https://lh3.googleusercontent.com/p/AF1QipM5FGWG3BCL9TOXyVSKyl735CC5aQI3GNVJciLa|https://lh3.googleusercontent.com/p/AF1QipN17d_kMGcdw7lveear8CK3QGpskaKlUfF8lQ_M|https://lh3.googleusercontent.com/p/AF1QipOFMVBVPI3IQg-c7b96LKtlBmg0rDCVxHtv7uvm|https://lh3.googleusercontent.com/p/AF1QipMrimk5S1osnos4abgK2Ii_4y3YfzAr3pMDvT5_,"53CG+XGC, Av. MOHAMED ABDOU, Nador 62000",https://lh3.googleusercontent.com/p/AF1QipOCtikZTSAIj_F1Gv-QWoOuG4VJ9VX2UuCXlefT,0629-979198
S'identifie comme géré par une femme,Barbershop Najim,N/A,"4,7",https://lh3.googleusercontent.com/p/AF1QipMv4R7hkRCdtLpWlng6_3tx4VmYBtbTo3i24ahD|https://lh3.googleusercontent.com/p/AF1QipMjNdoMjh2Vcyy9NETWV-w6X7D6wBnPqVgKXkl4|https://lh3.googleusercontent.com/p/AF1QipOymK5nVnkF03JtwBZvopRZvl2NBMGEfZlrZnFA|https://lh3.googleusercontent.com/p/AF1QipOt9RRlin-A5opxjncAbQtR-Zb8WtCYl8YgGT0n|https://lh3.googleusercontent.com/p/AF1QipNYEX87H6I70JwC1LxRr0p1MaqK6ToGEyt3ksC6|https://lh3.googleusercontent.com/p/AF1QipMnEGYgFbPQRaWZisLWCQRlNPEb2gMGkKnqdfMl|https://lh3.googleusercontent.com/p/AF1QipNjU7fcTbqv-UnyxdDJ6cF5piITsCbXHnO2AOky|https://lh3.googleusercontent.com/p/AF1QipNToHZi3TddhFaqW1ygCisOQ3ZORQGkIO2h4YzC|https://lh3.googleusercontent.com/p/AF1QipPAKzOu1PsMypP6QrjsPxgH7ilGBmVgGsXc9uBk|https://lh3.googleusercontent.com/p/AF1QipN6yxpsxPTRTkckJcyZ86O098ODaD-oITr_EF-J|https://lh3.googleusercontent.com/p/AF1QipNmCIpDVMwmx82qlaJa-Rvp8sDLOzzmqj8bGZSS|https://lh3.googleusercontent.com/p/AF1QipPwEOLR3CT0B79Cc3sV1A04UIff_Vmv9b36hr72|https://lh3.googleusercontent.com/p/AF1QipNjjiocZpVldCRvk3JAm2gPWyq8aJvp7pI6If9H|https://lh3.googleusercontent.com/p/AF1QipNUmQkOA4SwHoC90elZu6f0cGDWkr8nw5bQqMvi|https://lh3.googleusercontent.com/p/AF1QipMYHZlrOs3k_EFD_5JYMIggkdpsAqlBdK22TqH3|https://lh3.googleusercontent.com/p/AF1QipN72cYbplirQu_sLiGpHQ_Br15Ebs6NR-JjCXau|https://lh3.googleusercontent.com/p/AF1QipPYBbWhtf0e9l9_SmEK2dbQt5zcmgOIgDLwY0gl|https://lh3.googleusercontent.com/p/AF1QipOi0-aPiGev-qI6VjVg9136yvsQ_E9ocF3A-MX-|https://lh3.googleusercontent.com/p/AF1QipP_s4yYPUKtthdkq3c_Ta370XG0XYrMI2FqWbhB|https://lh3.googleusercontent.com/p/AF1QipPGrYo1R0P39JTWVDk4xLNYG-0OVBo65E1I4Cjg,"N227, LOT EL BOUSTANE, Nador 62000",https://lh3.googleusercontent.com/p/AF1QipMv4R7hkRCdtLpWlng6_3tx4VmYBtbTo3i24ahD,0667-304544
S'identifie comme géré par une femme,Coiffure Rif Style,https://instagram.com/othman_coiffeur1?igshid=YmMyMTA2M2Y=,"4,6",https://lh3.googleusercontent.com/p/AF1QipN9FmsgYtYoX8ILnWLDrWyp7I74pQMwQMCnWWo|https://lh3.googleusercontent.com/p/AF1QipPje7mOdoi70BKpFwasbkggWK6B2U2KFiOZv5Q|https://lh3.googleusercontent.com/p/AF1QipNhqMLYuJ-swXM4RxKmz07FYvMeuoOn587dgtY|https://lh3.googleusercontent.com/p/AF1QipP6rNdAM6eK0UBR1w-sf7l8kS-RDMAurlTGPAc|https://lh3.googleusercontent.com/p/AF1QipMRnw0gj4smNC68nEDFDjMGRrK1KK1glcuH_M0|https://lh3.googleusercontent.com/p/AF1QipOkwJy08feWfDz7DFY9gAdgVm6D9VZnObtyftM|https://lh3.googleusercontent.com/p/AF1QipMJS2tNcR5dtZfrE5-uXz91l9j-SUE3L-7cQBU|https://lh3.googleusercontent.com/p/AF1QipNwuusTZOheQL21bhsZ1EHKS3jFqtRritsWDmw|https://lh3.googleusercontent.com/p/AF1QipOTMOmcmetryyf2iFkGOgEvjGOmCEn68Vjiadk|https://lh3.googleusercontent.com/p/AF1QipNZiDh608o2qkHXWaTWWpnpcxDFUCQRyNjr1Mo|https://lh3.googleusercontent.com/p/AF1QipOHTyEaTDwRXOOXfqEuxltrf6w1bPbov9bGs6w|https://lh3.googleusercontent.com/p/AF1QipMFFMUMPBcKgMBvpYvwqBcT35MmHsoMEiRafD0|https://lh3.googleusercontent.com/p/AF1QipMgsS806hyJU40AqcVABrCi5GN6bw28zm52sJg|https://lh3.googleusercontent.com/p/AF1QipMKZc7Hw-WQVhp0wHGtwUk17m5NoXj7I6mttSc|https://lh3.googleusercontent.com/p/AF1QipNgE7MtjTJxlCdPSKNSU-2RcmwDB8UaEFndU-E|https://lh3.googleusercontent.com/p/AF1QipOZlYmVCol-gHWfZxHk4JXrklwJwAQV_WLgf6Q,"rue 301, Nador 62000",https://lh3.googleusercontent.com/p/AF1QipN9FmsgYtYoX8ILnWLDrWyp7I74pQMwQMCnWWo,0636-054344
N/A,Nissmo Beauty Room,https://www.instagram.com/nissmo.beauty,"4,6",https://lh3.googleusercontent.com/p/AF1QipNYiR_yyGMgTvbp8rLPwiFGcdFfyRtQR3eng1cb|https://lh3.googleusercontent.com/p/AF1QipPCEp-_G9a1DJ-gNnQGjsrREvv88P0rrUUWKtY1|https://lh3.googleusercontent.com/p/AF1QipOesZ6a4eP6rCafQz458qxOuxHL1QpUfA1n8nmB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7bZXGjEXaGq4NmWD8cnumIYlRopLO1JOafq87zOJ4cOjumw8aGx5Sj67rJEfMeJ6KPcsgDB6f8Tp0Bu3OIFXohM5Id13u6-4bvw2d9CgfnSc6t9Tz8j8GRdB-Adc21-HTsDd8Lw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxDt1kCpJVa_9TrSFpLkFBpausODW8RCadt5vKwFsKDcNr39RP91oovMDSHNUKXedValibRWGirzgcGvzj7k1OFyaWJfa5t091HqdmKHQlClk1dZCD5rHJsnvdNXWKxqlAv6p-8P5xX4RY|https://lh3.googleusercontent.com/p/AF1QipNm_BtQWIImHayu5U0Ijz_M-QFIrya6sGD9z8le|https://lh3.googleusercontent.com/p/AF1QipNab-VzaNXZYPg_P0XebwItRuTCbMvk9-LlF5SK|https://lh3.googleusercontent.com/p/AF1QipMKlKFuNo8NDgqJn1BNhd47Ad-zpXIcQSAT46vP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnVdOK9WDQgAmtsA7oDDDB1iDWE7MUlEbdfftsWScF4Ky6KZggTlasblDo-T12UoJ3jCKl3blHBjABdRBRLHBCJmJ42AAJbGKe-y6S5u8IzJq2fiy4tWR1Bgon-tJrtmpi8YCvdXDeEKZY|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxnoby7oof5c88O1ABD1c3nHmtgnQVj6iqLU43ITDnsdAKAp0YKhi1j95uX74B9WpI6Me5Ix0INNwQhkGPyVDFdUuWmyOZeJO5D4EGj9k9NQ0AfK0UJLbv7M5PY55yS2GkcBi5GZw|https://lh3.googleusercontent.com/p/AF1QipMBwyHVLFJJtUVPXYjhT1O9vjHNWhOI6ZnIqbwJ|https://lh3.googleusercontent.com/p/AF1QipNOm3_oI9cqYj_s9hzaWHLZMqvSgMJdLCcZXgVQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnbLzXS2yyN7rtNryt-Nco3bcqBcmYnFdjWVH7M4jnYMZdjizT-JrTUL149gTgewG4zJOoNGWXCP18iQ-sQgJIGgn0Q6wsoMdwvhSIWFhoAwnVC4aXqqHzJN33sMcbgoT6FWcR|https://lh3.googleusercontent.com/p/AF1QipOwl6SgqvDOK13WApR8xGnHlOA_R0lsnB98HRZc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_pogCUewV2y95yOzxfsfytp4lYSwklv74DM4307Os_oIL0sOpg3tgC7ssFccPGkRIS8u0DeCgFV-lA8jF78hdNt7smUDJ9m8s7wlB7sRbMSNk1tgmc8BrChrT3fU68GC-eBBw|https://lh3.googleusercontent.com/p/AF1QipORRdN6sz05WesL9b4PwLKCRRfALji9KDITDO19|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2-FT1heXn9aVrgkSnQqjLouv3O72kfyED9jGLitks5MJ-v81hSk6hNl3u1HOirbpQYqq0iu9SToDzi2Ygjc41og94iEEHs3UJ_PhbqwXT6bEpaLRxmQw9WVyx2bEXyfFopN0B|https://lh3.googleusercontent.com/p/AF1QipMgt9I1WzpBABLQdwbqOIT26fK-y3CsscKxJs5n|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7vYwB-hK-k7igd6nLQ0WYle1bMiNjbQwqTbx62oWUJJ6iLnSESXQGXNfjaO6elSZRBPgD06EBiC2VTzDYuHHbz8OJtr3fqlxnzOWPnJrryR3pUQAJ4hEIMkmTAwePzz7d1VMQ1w|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzz96_JWmWSTo55c4OR5OgZMQZ-IOmpNcyWKKcX7S2vC84lUD919ze-ABQ43xAC20Xe3G4a4cdRcYeKj0KxdmtPud8kntKrsVdr9OaCchGSV-cmG2B7rLJQI7GqeggXhmGDW3z9urTGdU3h,"30 rue 4, Av. ABDELKARIM ELKHATTABI, Nador 26000",https://lh3.googleusercontent.com/p/AF1QipNYiR_yyGMgTvbp8rLPwiFGcdFfyRtQR3eng1cb,0667-581427
N/A,المقص الذهبي,https://www.instagram.com/thebarber.gold?igsh=NDZhc2ZmdHo2NXJw,"4,9",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_1CjbNKTlsizMckUcK9DY9RDumVVKVVkeSK5YlBZIJK5msUOMMgtrNgH5geSK1yKBgMXMMuvLexTpTtZ60Jc64Vk9JMgfUCvAT2YTo7ZjHwPmd4qvOt8fgF39y2_OUegCwgIizPLmT11I|https://lh3.googleusercontent.com/p/AF1QipOfhJjzn09w4UglpsGuEbYtjf4VB9Qdiy3CpgXe|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzcXTU-RyS3g9wgiJ4lsBfBaTpnrH3-FjN03HDGYUN9LFADKtjYEVdVxLWXnSYgaGugM0MW63dCYQh9mMZvKizgF-a2njJgg_5f9jWutddhbd7EVqk8QcHT-Vmzox2CExHoTK5T2g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyW3Uzy2CUnh3odbexePlD9zrBp5iITvP8_5DsdVs9yf8eUJNx-wKvflywEUUl88HEnAnfmDsvpkvY-qJYHHRhNVKrLzd0YL0PPXEhSH_TbrqH2zLrAUEcAfODw6KdRfse_B_ADFQ|https://lh3.googleusercontent.com/p/AF1QipPH-uma2BFWwwfLpqeiNNny2QACQZ6jDdo8BAPP|https://lh3.googleusercontent.com/p/AF1QipNhWBt897KEM6cxRAnLT-tTILbia5oH8hk2-z4j|https://lh3.googleusercontent.com/p/AF1QipPugjYfOSKqwQj84JL6sOTruVm7qJAtL04_vMlr|https://lh3.googleusercontent.com/p/AF1QipOvVNBG8mSsRfWVWy3G32htydKPdruUJkALChfr,"Ave Des Far, Nador",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_1CjbNKTlsizMckUcK9DY9RDumVVKVVkeSK5YlBZIJK5msUOMMgtrNgH5geSK1yKBgMXMMuvLexTpTtZ60Jc64Vk9JMgfUCvAT2YTo7ZjHwPmd4qvOt8fgF39y2_OUegCwgIizPLmT11I,0622-790948
