phone,image,title,location,website,rating,images,description
0669-572229,https://lh3.googleusercontent.com/p/AF1QipMVGFX973Zw9VjpwgxQ5wkNlb0B-OLMhOAhwC_P,Lady’s Only - Meilleur Centre de Beauté à Tanger - Salon de coiffure 100% Femme مركز خاص بتجميل النساء والعرائس,"Résidence santa Clara, Jibraltar, 8 Rue El Kindi, Tanger 90000",https://book.ladysonly.ma/,"4,8",https://lh3.googleusercontent.com/p/AF1QipMVGFX973Zw9VjpwgxQ5wkNlb0B-OLMhOAhwC_P|https://lh3.googleusercontent.com/p/AF1QipMx7bNTrEYZnxoO4rfD9wZWttnM9tjLTm2EtXUt|https://lh3.googleusercontent.com/p/AF1QipPi0I1sGA2thNW_ZaBANzvHVpYeE466Hbc77T2M|https://lh3.googleusercontent.com/p/AF1QipMUaNv3O0SVi7zcpTcj13YSF_HKlu7ivSVgy-3g|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyinLkWotxdk5FiDsf55ulhd1eki5kidm6IzDzF2XR7aAxCJ2O5Yt0TWQ8bcyEGg0aiN-zm3vofq2Do49SLBzrRNgVwMHoN2MIHmAF52MrIGqTOCpibx8NK5mPfyYkNcyPVe7KR7CnfwXck|https://lh3.googleusercontent.com/p/AF1QipMytTQU2Des_P6Qo_85ZU1htqNmK1HsgLCtnzs3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxb0jA3h03oxi8sA7tuXeH9oK7U8fCM3JIcDID1yVxGV4IxY46JY6x56A7Snr8wvne0sAtHwFTNc8eUgdbFbrKPdGqz0MSW2w5MLxdxEeks35AQZxKyJc7zcmx2mOS6T8qYz1c|https://lh3.googleusercontent.com/p/AF1QipPuCN9NzHoF_2dcX5--mntAc5ZPgQsGSLTnEvon|https://lh3.googleusercontent.com/p/AF1QipMpuv7VDtZmVZXHkJM-SbqX3vSx0TZcpSxYqN-O|https://lh3.googleusercontent.com/p/AF1QipMlzcqHFg5xgt3qluMe7vJf_G2S3RY_8KUHMzFu|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzK7clVWC52X92cLresjVU0dfUDloYzz4U_Yod3HQ5PhPDYC0uxtFRBP1Z35Z4Uqz3QrAT1sK7uYMEIHCc4uvQdVlSshU1VEqXKN4uG0rp-Os_8POf8cZB3tKJj9Psai7PbDcQEF0RZ3XhN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySrMNsV9UvVi2lkFFgKLpfLRe-hcO9CCFQz-Yw3AX9Wq4dQNKDyMpQJdeVOlGAQwxEzwt8idsf1oSdVP2RHxGdYOnu_0orEsjPeAKC5RpRkOK_phpKlEs_TcYx1gAoadoGCCe7yA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3R2s9jA6Qpb7IiSFeg4Avfzc6o3b8p0VmuI39T5Y3IpzRohn0Y7YcNs9xFaeRxI8eyGtuxgcn1UOgbJ1GX3WT8-m7qSoA31bHMNK0O2K10q2O2jEAAF9JHOt7WRDDx1wsXMgRzGvRe5Pb|https://lh3.googleusercontent.com/p/AF1QipMYqUIZdOyMFUqmlc_jU3NteyG-BIdglR_TRfMt|https://lh3.googleusercontent.com/p/AF1QipOLWtQr1Ve5Fp08TYqy9mwvJW5-WIX1mgkZXkex|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzv32YGwSv_wDj51hdrVodeY8zKcDuZ1yQaLvuYswVmXR_SMZiduAP8ErnVzDNgdb97-nSoC_HiekubLES7oqUOGkYOQ0Ivp8Z5Q4rmbhD1HVctiMjD9iQIdEEOgZe2Myu8O4aSbZ2Yhco|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4RQvb2u6KErxWUnFSdrccb_L0Dj6QESncTNRez3Nn5bF6VyBIitkiKilwQiefTEBg4LpEwXxEeVqE6LxxLE4-_yXlzW3eM-4U19fdPP7HNI-8A_OU1xeceaM-nMZPpBNILJAe|https://lh3.googleusercontent.com/p/AF1QipMqlYfnKfhA-0KokLvXr3nZl5l6hIqASuJZ1YYk|https://lh3.googleusercontent.com/p/AF1QipMYJzpNJzSb7hv7YTroXP83lypWDDewoCHmwV8l|https://lh3.googleusercontent.com/p/AF1QipNcDshQDqnklqciNCH7igy7U2mpYhAo016qOfSR,S'identifie comme géré par une femme
0690-321216,https://lh3.googleusercontent.com/p/AF1QipPKQBD_9f_HVkYtpEXgxER-zujAWw1SwJyQJ21b,Elegance Coiffure femmes Tanger,"n 68, 68 Rue omar alhas, Rue Amr Ibn Al Ass, Tanger 90000",https://elegance.chezsimo.com/,"4,5",https://lh3.googleusercontent.com/p/AF1QipPKQBD_9f_HVkYtpEXgxER-zujAWw1SwJyQJ21b|https://lh3.googleusercontent.com/p/AF1QipMCqQX1jcYr7ePxBu78IqzCUD5qUOsCOcTEIPsq|https://lh3.googleusercontent.com/p/AF1QipMN1ErIaP6fmv6LdAtPELDSFf69HNWa4PIB42T9|https://lh3.googleusercontent.com/p/AF1QipPSoA99eLEkdSxVe3ksf8FqcLP5h_xTxqsecXqQ|https://lh3.googleusercontent.com/p/AF1QipNeHV4yFrsrjycZbnHwuhBNn6eR60aWmXPMZZJf|https://lh3.googleusercontent.com/p/AF1QipPgwjUmLDM44dmHTPz6HFHRJcJtYu9lbhkdu70F|https://lh3.googleusercontent.com/p/AF1QipNNUNWKfZvDakFD6TPHRtMOw-8KXF-9kag9Hzfi|https://lh3.googleusercontent.com/p/AF1QipNs5hbhQ4I_H0hq2WtcmFSjvxjRnYk7kPeGgYDL|https://lh3.googleusercontent.com/p/AF1QipMgIKfwFXmY4HAdZwcg5MrmN28aIFOWui4nxf5J|https://lh3.googleusercontent.com/p/AF1QipNb6fYfuCIV9HNKSbDefzN5mSo571Mu0pPtxT4W|https://lh3.googleusercontent.com/p/AF1QipPh7UwSc8ozL9OWYWRIxw9Lj04MYl6PcLiYwOYH|https://lh3.googleusercontent.com/p/AF1QipPUD8FUqRx-VBpiaqjh8iSW8cPmiXDxQys-tnuE|https://lh3.googleusercontent.com/p/AF1QipOuZATmLImyhzOruQVf4bL56oSh1EwdHiYJsgLG|https://lh3.googleusercontent.com/p/AF1QipOwiCDJaKUIguPv5wmVQmfv1Wg9orBMfnFo0cAa|https://lh3.googleusercontent.com/p/AF1QipNW72pTcvFWbJNO-8yYgdpvFrfAUYwyJtmz7VX0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwU6anC3NtnCFA21Y7-a0tZtED_u1eqAIpbY8Bieb8JUiJQ7qANmZa3vPg4pR1ph5vMrBeyWsJe3sF11WVspKUPW6tmoKSdEPkPS3lUUPxcIdCbsaDsASOegaJpZyidut0rdZ76SkXwUrND|https://lh3.googleusercontent.com/p/AF1QipPRKQ9jeXsEUz_oBIMDTKlIdnSswCsyHGgPxGED|https://lh3.googleusercontent.com/p/AF1QipNZeSTNUEJkHwzPTpPVu4eCqMsHDUYWjyNm3EBm|https://lh3.googleusercontent.com/p/AF1QipPSZkLfqbMxfDahWipJMKNJ3M-AxFWqIfEnNpDe|https://lh3.googleusercontent.com/p/AF1QipNP2xnIUbIQ82zLfA2-4mFdA2AY9h1OP4CUBpXM,N/A
0620-003374,N/A,Star One Beauty,"M 2, LOT RIAD, 51 Rue ACH EL ATTAOUI, Tanger 90000",N/A,N/A,,S'identifie comme géré par une femme
0663-533325,https://lh3.googleusercontent.com/p/AF1QipPUgmixp1t1qeYPOU3DUbWjmmieUnErPoSocnXo,"Salon Selen Beauty – Beauté & Bien-être pour Femmes : Coiffure, Esthétique & Ongles","1er étage N 54, Immeuble venezula, Tanger 90000",https://www.instagram.com/salonselenbeauty/,"4,8",https://lh3.googleusercontent.com/p/AF1QipPUgmixp1t1qeYPOU3DUbWjmmieUnErPoSocnXo|https://lh3.googleusercontent.com/p/AF1QipNgDwjxCEcS4jNNfpc3l2Hkh1vTuRTyKOUy7VQR|https://lh3.googleusercontent.com/p/AF1QipM2Skx2FFRrBxE7kgwf8AxWhe1YYAqdvD_q315L|https://lh3.googleusercontent.com/p/AF1QipM6kEyR3fgG60IODJucb58OehiibzmcusayPcjz|https://lh3.googleusercontent.com/p/AF1QipOxB3XkbI-ySJVHTsLSpewQmoZgpbQkjGtlUYxT|https://lh3.googleusercontent.com/p/AF1QipP0Cena4vsQPmy70Rskf3ZvPFaEDSh5LKasz1JJ|https://lh3.googleusercontent.com/p/AF1QipM3SWOETB29JZKOA6Ba_7ZMygHTejkhbshrbmuV|https://lh3.googleusercontent.com/p/AF1QipM0GVoc-JV__N1BwC-C84TuLyN-xEN2mPTzMR1V|https://lh3.googleusercontent.com/p/AF1QipMWw3i7n8vPWi_5ImraL_DpN8lZnJmM5aMCBHQj|https://lh3.googleusercontent.com/p/AF1QipNj14IuCBhcVdKuXmdNoGwe3GyI4G7s51QjvDiV|https://lh3.googleusercontent.com/p/AF1QipNG8m-16JW4Ic3_LjLbmRDZbfKtQOfFTSojgpjG|https://lh3.googleusercontent.com/p/AF1QipM6gQRrINW3e0KzjGmZlm8iUPBiommKWWuRigf_|https://lh3.googleusercontent.com/p/AF1QipPOSRIHUGZ6OfKTEveJ8wWMHkue6WNf-OBznX40|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfKzSCNVhIeVOCmNyTFp0NONxRNuRPw6YR2M6i_35UaKxE0rC_RN2caNIcut8Qf4WkO6Ve9V9D4nlQSmD9_EHbFD8rNRTnghhaLLsboQLuEbHYcMbdvfojHn5G_0gmf68lML35NQ|https://lh3.googleusercontent.com/p/AF1QipPdKiQb6FsNh7KPL_3OSKRL3_BuGOTr7NHah-kF|https://lh3.googleusercontent.com/p/AF1QipOoFAVGGc1antBSAGP70XeSklya5KfQhRvxIF7i|https://lh3.googleusercontent.com/p/AF1QipPM4Rv2LLk-SUtekwR31_-WMJiXJPgcsOF_QhcM|https://lh3.googleusercontent.com/p/AF1QipP4s-C1lSsseG9odl0i0hLMk9ncXhWnm07sND7p|https://lh3.googleusercontent.com/p/AF1QipOXKvYeVumi2lbKyKN9OgkY6dxmyOZqzkc0Vqpr|https://lh3.googleusercontent.com/p/AF1QipPi0DeHfGkrNXgLx82LMl_-1po6pYvJM_g1XuVU,S'identifie comme géré par une femme
0661-211413,https://lh3.googleusercontent.com/p/AF1QipOXLZTGXmnocDC0pnXjV8HiIH2Jd0jEuhGYL9-m,Expert Barber Shop Tanger - Salon Coiffure - خبير الحلاقة,"à l'intérieur de Mall, Socco Alto, Av. Banafsaj, Rte California, Tanger 90040",http://www.barbershoptanger.ma/,"4,8",https://lh3.googleusercontent.com/p/AF1QipOXLZTGXmnocDC0pnXjV8HiIH2Jd0jEuhGYL9-m|https://lh3.googleusercontent.com/p/AF1QipOcq1H7QxVSP0NX-BybumGkv107V-N8ddajov5G|https://lh3.googleusercontent.com/p/AF1QipM7ii6KeIYwQr1Mah1CJU2ws88MiocjCDVvRnJt|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywr_keM9sUO8bZUd-yDT2Vst_4Zz2k-ZRIR2wQ8JVGwZg-3OE5yCWOiC22jhCNYDRkGRD9t9iXQYCRN6q0iSpGoIsKm4ya80GaP4fnfMRwFTfBVOGs8NF7cGWHx_ro7sde88yOWg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwe1cYEKUjJpZ-6H2yHpvPZ5pammANJ9_vPgc-wXb-QtU8cwXTp3fT1dXod9i0i3N-oXxxSNf5R748ephpuSouzNgxBq8qaiZJR995S8bjY1j3eKnc234VAaL3TFqhVCIXCCJVL4x7b1wWW|https://lh3.googleusercontent.com/p/AF1QipNrxXgZEneYsPKn9nS7fEJH0AgvkYQ9c7nhAG0X|https://lh3.googleusercontent.com/p/AF1QipPQ8IFUhAAbhB_pi5QdOkP9G6-h1eOBuatzy9eK|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmD_YtNeB3V9r9UeHa9fqvamcP_uchNaHWmQ_9mMW9og3GNZYq0pgngc-h2Vhl-xTtvrkdNYmhVuXR-T-MTeB2KWoVFtexGTXTUDBgGncN1XSkPJ4UBRXYmNn10c7JTfPaqSZhvQ|https://lh3.googleusercontent.com/p/AF1QipNcU2o6vLgOJUAfqSLDC2ObV1Iz5FpwsI-SBATx|https://lh3.googleusercontent.com/p/AF1QipPLBPxJRrnkcTbzEbSWV7td-ngUD41noNAdjSIs|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxU7p0Dok1nWacomMKkJbNd0diwAFq9nJ52LKqdEviTTlHBauTLer7faivPVBfrmEvFl-aAf2JHzW-LZNkcSPtCRjh2BByrHDALyUugV64t3PA3Bq4OOpGwlSL1x45fhyjlms96|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQ1G8XNlIB9t_34tKCSM4llCx9DXXAQp753bUVnF-D9de_NGZwbBnbDz_IE9zhYrlajMPdVf4gFva0TjIc6K32O7-gH5kkyzBImTbLHQ0FO2DXK2n5WsDUNz44W-nMY39xWb82xw|https://lh3.googleusercontent.com/p/AF1QipMMU8BOGp6iP79YNBbPV5Ba8INV6elmkef7Snok|https://lh3.googleusercontent.com/p/AF1QipM4nGuWNPNwA_OLEaLmvSZOUSZ7a_poKUjhHMXB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZ1Wn-4G6Kh4wtuOOrn3PstGJ_s3c4CP4aTdVbmzAI0PfI_qCzbw9MnBykttqT7KEC6y6MQl1VkpHI8Qbf8lihHgt_6NxgFT9VGT5wnagnKhI41Ji56nfHfrm5H39J2eKlLJDHvA|https://lh3.googleusercontent.com/p/AF1QipOHfdlCeTZ02pls1nss_vZZQORMPjYVXCuiBLW3|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMKkyW_7cF43ATGXetg4h3G0W08k-27jTs7rUnModmEdX-dKAf3QURvVRsNhRfG9nz51K1zrmTYFgMNwagjLMbRYHxfVF9EdubMRJbgKaCUYfdSkXIpRiaF4st0XzDi5IRb8g|https://lh3.googleusercontent.com/p/AF1QipNp97-2m49t7-osQTaJcvaZEqxrnFN9bIJY3Mcg|https://lh3.googleusercontent.com/p/AF1QipMLid6165X8i4YifEARx2Tti2gCacUnYZxfwdvN|https://lh3.googleusercontent.com/p/AF1QipPd8ypzgT5oMvWUDaIU5ogWsPhcJR-tmp_bXQnt,N/A
0679-217095,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzikvY7NELEYkarMtRTqJ0CUly3siCKpoFuNBFkCusIk3GIHSQ1ICA7_MycVt_br_rnXAkY5afIRM4REnrx_pnfT2Oy60U3SSb907MRA2p9b7mEj-oJ-2SncSdr8hHgM0BICVMU,Salon Coiffure Amine,"1er etage Centre commercial vienna bd mexique, Tanger 90000",N/A,"4,5",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzikvY7NELEYkarMtRTqJ0CUly3siCKpoFuNBFkCusIk3GIHSQ1ICA7_MycVt_br_rnXAkY5afIRM4REnrx_pnfT2Oy60U3SSb907MRA2p9b7mEj-oJ-2SncSdr8hHgM0BICVMU|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6AkrXZbvTBM9kscwD22LUIyPfP8dNIqtDkgC_K5sUo7vjU3Vy29mVcp-PxW-mJk02yTGo4HEzEm8kx4BwpyuwwC4ATY4ZTuZ6lyZ14U7VHA67ilvqJrckmEj8FEGcKG61fbNpJA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1xK2NClJVxVXtprT9JjiSuF2GRepRQ69G88gxXLz8I1hWrK7NcIoMrM6oMDx5cMfu8-lSuNyM0BdGfHzPx-sjk34v0O89JLwV6vdO4GsEkKW91kHQ9-CEeVr82aFrJHuSQhjv|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHcSs7sT_02Ruaf_gKIfZfRd3xXwCLewvzASQq1f3UIrdVjjUX14hlCL5veEcLzf_YJlCOqUW3HOhf9cTBJQQlkLopH5NbKjSXd0ycz0w88aGaZBGOmv0sdb8urOnL5gam9iFA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBgSQClgbbQvUD5u1v79C5HDR6e3nHK0Jj7PHIf8PrjxS7VsxrWT-qrhlAX9v4DYrsV5yy0GCEUZJXVUJC-MVi5B1IE2Kk5vm0rvhv_PbFDC4WZw6WopXmkVH19ACxcamvPend|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqkATj-FbyPYCLGxGiOXkx3vPFyV72bLsR0V8HWR_W__UHaMmN4_z1nXDDZgXwpr7zWqYaHJFHdDwhZutesK2ZTfe0QG-8iF10nkxZ4dZKzvpO54ZSN2NEs-TIveHVDkwC8qGh|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGygpAeiZBQ7BE9n3CdWZK_UL9jfQpuQK1q70xSJ-Ps0rhW1ooTcPdHvbnNnZh2MLrfRT0NtfwvoNamFoyFxDd5Ip2v5NE7zn9njjJzXoH0XkzTCO50XK19AJM--w7JMAEghXZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyDsXCZ-3SdQ376j8uOZ1-pO1dUxkH9khbvn58Go_hBiefzGL1jvU1yJcEFrgMRVxEYicL105nbDRlO0jxg_jOPQWboGOQtELygIzwjFpjC-j4A8Bt9ijpVQs5ZPwEafDRThjDN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyu8krpIia7OlXnDJMeHDeEcdQLaF0rnxhIzdSsrLOMvikdmG8a1Hb72E8ytMjKgSmYdMK4DanTvBNKZvENO6Z0jLJF3J_AwCkBeiM8v9JiUBffD9VUzxffbcVNpSwoDMRjo-lJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxX5YcT1JUuQXKcqNpM-LGprdDes2FBAZKzCsUufnSD5Lv84kc0vGRw-NJU2Euh6uvpw-5uZzzw2mkcjZBUI57Hgl7E8Ng1YLl-7MzKt1Lu50Git8fGv75KKeszLMhC3bFBcUrnww|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw86XMGRtqhXA3-wXPw-kkXJeQW2viPCyrfq5DP9dmLmXkWt2_nhQ5PXY2qSJu6bdAjlpsPi7_o5QRlUqM6cz8r7W7BzXmTGd2lSDWYVYboZ6h6FOfnOD_C3DXeb4QH3l8hnoKHsA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaPbOKlCKcStMbyLN4JR93lZDz0jrB3ulm_gU7SOecvQDUuRDfNU2AQn6ys-YuI-UDKIwrtzYcROV0QvC5kimQAj6RWe4x5BujH3S94WTi7GNknIzw_wwHS6b4JPclNkAgVJYB,"Services
salon-coiffure-massage-tanger.business.site"
0664-454829,https://lh3.googleusercontent.com/p/AF1QipNgfs-r290qWZ8Ux1BXS8xJFwouREwbcnLfUmLe,Glamour Beauty Salon,"Av. Nigeria, Tanger 90000",https://www.instagram.com/ziana_iman_glamour?igsh=MWE4dm4wczR0Z3lmeA==,"4,6",https://lh3.googleusercontent.com/p/AF1QipNgfs-r290qWZ8Ux1BXS8xJFwouREwbcnLfUmLe|https://lh3.googleusercontent.com/p/AF1QipMEzBN6lnStk881isZUzYXw9-r3rRT9P59GMBes|https://lh3.googleusercontent.com/p/AF1QipMo79KUSWwkqiAWRnxmNquLgdL4AuIeT4x94qNf|https://lh3.googleusercontent.com/p/AF1QipMYSEBQ5u-htlnUmgHO9kJYFPLmn_zpdxs-FI79|https://lh3.googleusercontent.com/p/AF1QipNEYi1MBRcyumsk4JhUxE-BFeqGT7RjzXmyo-KY|https://lh3.googleusercontent.com/p/AF1QipNuzHPEPDM9o1ryu2PzQ9RHbV1p4ADA4TPb5GN9|https://lh3.googleusercontent.com/p/AF1QipNKRy6Ztv4EViQYesqukpWO-q-QTbWrqYoAnTkb|https://lh3.googleusercontent.com/p/AF1QipMrwvS5AYZLgy5-U_b5pcYffvnrXU4xD1hwzUZn|https://lh3.googleusercontent.com/p/AF1QipMFIklA2xTWBRTA7kydGFsdevcXS95RmFAqc5Hm|https://lh3.googleusercontent.com/p/AF1QipN_Tu644cHHhDzt7oaihxlYMNJPgyM8hMK0NjLT|https://lh3.googleusercontent.com/p/AF1QipPBWneMSMiwfF396s3wfrMH-UjCt6j6H5YaLYuv|https://lh3.googleusercontent.com/p/AF1QipPTXAvC9J1AmkrfjgTYIfL-yl4VFeA_mbGfyEtA|https://lh3.googleusercontent.com/p/AF1QipMHILfmaUgaETkXLiCXrO8nLXqNdDZ1D1ntkeCN|https://lh3.googleusercontent.com/p/AF1QipOr7qrjmwai2JFpDG0qHzl42lwhebi3E4PaOQPa,N/A
0665-724263,https://lh3.googleusercontent.com/p/AF1QipPF34YNOVDpLE154m5B0EJ-2jA3qOTfb9Yl3_Ym,Salon Golden Beauty,"2° étage N° 9، Edifice Ibnou Sina، 6، 10 Rue Moussa Ibn Noussair, Tangier 90000",https://www.facebook.com/nassifhind,"4,9",https://lh3.googleusercontent.com/p/AF1QipPF34YNOVDpLE154m5B0EJ-2jA3qOTfb9Yl3_Ym|https://lh3.googleusercontent.com/p/AF1QipMqTb7vyxEKoxEA7wIbfMYiKnJRNEB0riDWPXkx|https://lh3.googleusercontent.com/p/AF1QipNvwwJ-U9nT5oWyzF3ftCwtLuUwaAdIaUNVwcPN|https://lh3.googleusercontent.com/p/AF1QipOKmpWDEWQy8A_D98M897tk-LiClgjURr0SgGu-|https://lh3.googleusercontent.com/p/AF1QipPMbTQ4v8PafQJDBMhcejruRc952TWVejfnPNQQ|https://lh3.googleusercontent.com/p/AF1QipPxdepTa-hHGerdsFNOmVesXt8BSLQ2eWKhjGCF|https://lh3.googleusercontent.com/p/AF1QipM41CKBFHTExBebSv0ptTniHKM4aYviFZaUC4zL|https://lh3.googleusercontent.com/p/AF1QipPOzur0loQBQJRskfvbLZyEwTeBRz858BuUpFyO|https://lh3.googleusercontent.com/p/AF1QipMUKaR15uEiiTU4Kzf-iq3Yp7M_ON3CDih3Okd2|https://lh3.googleusercontent.com/p/AF1QipM6ozhscGv9d6UAr1pBD9L3J-n25A5OEFW-T0es|https://lh3.googleusercontent.com/p/AF1QipPrc7ZOiREogNBQhFRsXs_0TXtfd68nvtknwDFu|https://lh3.googleusercontent.com/p/AF1QipNPpM79PHZLXpzenHSefvcr4gm-jUyLImAxLDpT|https://lh3.googleusercontent.com/p/AF1QipM1l40UBLEQRbieVcXDd9k4_iJ5uVyI1yd01b8X|https://lh3.googleusercontent.com/p/AF1QipPr556pNJ_ow-9GsOP6Mu1MRoJRJgXTFr74xUNl|https://lh3.googleusercontent.com/p/AF1QipMyePDDEkCz3Kj6hmKWHRsATjZGA9bvC2E9xBP2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw0DwFt54YyfcyqFCA_RFv2GGsBdtGZ0lzvakp9uB4J7iqpC8t2AY6jK9KHwH6kTmx3fDrpmGciO_Ybexl2XT-99niQNuK17mFvl3Jm8pv8_ZU5-WNMqZE77sPTF7-bNML5uNmnY0XGDJpq|https://lh3.googleusercontent.com/p/AF1QipMlbZ_WWlpgGc2ymWL7PvyX8ZXG5fT2XVsdsEk1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2RIv2iP1eepdlhjBG5prdZi1uX3p6bWTnkDqWOKTZmzZrRYXaYtD30OENjX1eSkUg0VinvLGrl-N0vPfvAjh0R-4rm2NYv45ixkz7S9-SqzTLEV-0rLaBP4ou3yTTqDtEe9tUDw|https://lh3.googleusercontent.com/p/AF1QipMri3RtpIHGDDALklidEYzOx7dZcRqXb6fs3urs|https://lh3.googleusercontent.com/p/AF1QipN1g8hRtFAnrmzf8vT7G7JK7bjQl6mUqJEabHa6,S'identifie comme géré par une femme
0663-818549,https://lh3.googleusercontent.com/p/AF1QipP9DSll9g7l8R9X6L7KvMtw0ulrxLw6pgcj3w7x,"Beauty Place Secret |Tanger | Salon de beauté –onglerie nails – Sahat al madina,wilaya,Tanger","Q5FQ+WW8, Tanger 90060",N/A,"5,0",https://lh3.googleusercontent.com/p/AF1QipP9DSll9g7l8R9X6L7KvMtw0ulrxLw6pgcj3w7x|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdlpH_Kw9JUCut_IfNA2XKZbrJ-savO4xs8NDt5fAinmLAC-Kh-nzH16W62qYCj9qgL5P49CTCTILAfoh-e0aVbNxdB_g_zmuBC8ikGPE15gifoTrpAPwJvBWiWJLSmFUoEhtJ_kmmXZZC|https://lh3.googleusercontent.com/p/AF1QipMq2YP9p6058LDHUUbIXA3so_LGBS4V-9joK3CY|https://lh3.googleusercontent.com/p/AF1QipPO-GGUzPDkNZl1bI5oPZukhIzYt1XB7TIJEUZt|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzPbkI_OK6nsS4H4_EMHOV6FVd4OoWpCSMOZE9B-dMmQvt5OWtV1lYkv_jKQjCyJTMKMU_JGEIgnPaT7DUDfUFu_-TGVsNn3M_Ddk54khz79OXzfyPQ_h9qTZUkEy0B1j3kyYhI-yH9N6Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWgPuAGDtWAo0rfCznC_I98DGNgyIXOuH3BklMhNwWHZHgWs0MtfMfmC2vzG_5kCJm0dwlr7rmhHP8ytQrd-jkSZgf8tyb5KumTxkcfsQXsfcCl9dgGZGvPzjx6bKJPwlXaBQPxKq1YlQ|https://lh3.googleusercontent.com/p/AF1QipNBJO4CYEJQ5IZyjaGF1_ayvM3t-TdDDG8PV9Ew|https://lh3.googleusercontent.com/p/AF1QipNJ4sKIt-_ByOj-NxygjF8dtaQoZNQBtrHYZIdQ,N/A
0608-609248,https://lh3.googleusercontent.com/p/AF1QipOf3CDqC1vPzfZUs5bpXRaYEJuFDqxdRw4uNhh-,Nidal Beauté & Spa,"Complexe Nakhil, 113, Imm 07 RDC, Tangier 90000",https://www.facebook.com/nidalbeaute,"4,9",https://lh3.googleusercontent.com/p/AF1QipOf3CDqC1vPzfZUs5bpXRaYEJuFDqxdRw4uNhh-|https://lh3.googleusercontent.com/p/AF1QipMV5BSPwV15JhuBHzLQXRhMdudPdTtFuJ9W3Fxt|https://lh3.googleusercontent.com/p/AF1QipN1ICEFY-GnLyBh8HX0tx1XqqwH3nzRbTDjh4qh,N/A
