description,phone,location,rating,title,website,images,image
N/A,0658-803193,"Hay lazrak, Témara 12000","4,7",Hamam Istanbul ( Hamam beldi ) aux feux de bois,N/A,https://lh3.googleusercontent.com/p/AF1QipMpxF_PA9zIp2prktSry7OFzFPjUvRoy6AqaPs|https://lh3.googleusercontent.com/p/AF1QipOfUwix9hso5IshboI1FFoG3JAoBvMEXHrZ8Do|https://lh3.googleusercontent.com/p/AF1QipOcx-CZ5-F0XY6o8LvcDlrGMpS0QpEHtkfe_68|https://lh3.googleusercontent.com/p/AF1QipOhgPrDgoamIMMLjavXObCcBUztlDkcq4wgq_c|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYR3_ZU-wetjO8-lQyy1-WIrA1Fpoq2TY2BhR0WRjcCaGORTWXvsKqd7xQPcueRqhd0XsN8JJYyDJbYEv6qYiMDcLxofYfhVnZBmFYM6kJq0RQlCWUoozlHU9lJNuyh3_sB-6S|https://lh3.googleusercontent.com/p/AF1QipPnlPNs3POOuhYPzaflfFjxpy7TpWVKcbQkNWs|https://lh3.googleusercontent.com/p/AF1QipPgNLKBHGeFWvYQ7fIeLbNtJcvRtqeQBynpfHM,https://lh3.googleusercontent.com/p/AF1QipMpxF_PA9zIp2prktSry7OFzFPjUvRoy6AqaPs
N/A,N/A,"W37M+W3R, Témara","3,9",Hamam Moulay Yaacoub,N/A,,N/A
N/A,0770-850468,"678 metaa, Rue Ouled Aliyane, Rabat","4,5",Désirs D’orient,N/A,https://lh3.googleusercontent.com/p/AF1QipPzn4WWUbQ5f5UAWq42PtGqn2ZpGR2CC1TcDThM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxTUBykOlUUubcQoHmWURJduce7LDkl44zPSI6Zf0-roqrtIDGE7p_6vy0gGsq34iSzciU2U4xRSNYoBAm-s3VkFCKVnOMJNxxylPjQTYoZnq7TkeLmyEIimungsEez2kdXDNdCJg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyTiAiqaG4t8LE2BNGivO1_lDbC0ECkv-6wP5_lZjckt211G07zhjxr5MJE7dKXYdn_0htF_Ff5mB5FXxLvwWjihjtN6irDOEPmJP18-25FClnQP9zFwfaijTNz4TOOEU7uKQI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIm2FUp7vvl6fzM189G2j6r4jqAyeyAr7thBO7FvLZyZRi-YRUeyc-rVeYCcJgEwCLNf18pIDmhAg77npOAna-DxLStGKIoYQx4LtYp3fyEoagOnnjacxuIGWCdAJJwzdBn0Etvw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZMKwwAH-tUsZVdtewfJvYvDe-hwKxtobxRcFsu9e3HxDEV_H5AiLqAJUK3W0_fGnM_dAEnryZGT3kVb003vEwH7p8Q04lj6zT8eHbGxO-211ACmTSxk68RyR2E4rfd19yWe4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSycTnHRM6JMGdSplug7IH2nwhmtseMKJ3VSlbMnSEBIDfeY3meheyDZBeFGFpTh5uyGK1ksp9NVU-Iaez3WHr1x0JB2UcT7qeZK7DRdbc5pTE8u1Ebz8M2MQSsq2kfgH2WjBSjeyA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWFCi280rkhKBT4jIEZeeRtslbWwCGnIFCCNbhOFpgU2_iSWP8qASn1gxKrgjYHn0KSWUU9PDK_Q-3t6wFBYBQXZeI3SubM-aPTo_TZsQ7SgX7d32xFnzVOkSt8qy6j5VHNQov|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJ7PNDb3RQBSV_6N4_s9OHnx33CJoiMBqhzktjYIMnXfN-t1PaBrx0zpbEdguT9H3ag2055-JcEHwkwepKmINdSXmP49X50iXhSL44KYkCZJLYlmrURHInmqsBguad3qfub-xw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzjg9Ej1DgbcVVZottH2rW9B-gG4nNON70wIJ0r0Jnho69P8gClDQIYvO9Kzr5IsLTdBYXL9Ao8KLBTzgfrxOgzyPZ2nrIPoIrJR8DiQSeK7AIFJ7DQIRD_lQC3S_4p3ZDZvNI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2gBGpUduLnXgMqPwbSbDWaBejjGQKqV8MdC3_KeajeWUkGZn3ZhYFvIiB5qZt9VWjimdJ-Zp9QGhENBFntyEjkOkyFR6MhJI9DjAPlMrOtNWO-Am3HZxslbgQ2JqCpDzD6Ydd|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkD1qAhxbde0tZLRdnpAVzhEOAm6PP04wkcQfbMITqnueXM4osztzeBUDKvVmkvuFOCe3r1h8KVTABbzB2Hqh8dHZqzfO4-MfesoaVlOrHx2RUNkYe0Y-SeRt0k3dVSzOCQHLc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz1_-KAjdGuQXnLVheKSV0N8JZW548ZhAZ9WeDg_0wYfI3-_oTRZG562qQk83Rns2y-04Yp06gPgxLVVJ0aoHG9JJfqVP8yj2lI2RXGroSEK_7uiz1tezTi3WNhOkxOWwrGAytlAw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxT7TBJ5UN7UNx2ZX49e2sckW3rQukU-7lcn_eFAg3Cy_EiTCv-gD6LGcGVmDItvPRBN7E6dehaoCRG4PtP_uxSlfDVh0ry10_mZBSiOHuES8jjdRdcsnGApUGVhSE-9IjJxn1hAg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwE6fLfStbqP2SwXC9SjzPv67Aq3CeURcer4sry-DggEx4lJkepC0T78OYVmdDyr3UsjeVafYekQP2wql_zNuFKx0Q6_B7xlHx7U2zF7u1F0UkJSsgg-60UZRw3rTjdt4c3zXkrLA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsNy3pNkKahtnxx0oFDVa9R1UMbeHl25c4EYJgG_KkX5caYaqBeMFUpVafqRpfDz9Gh_AY2SGm1UJOs-EbARSMqAHlro9y6PJ80k26DZypqzbpjdrDk7dYl-jqpFvjkdNlyHKa-5-lrELj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDSz9XQQU_2PHJtf4zVyY5uTyW-Ec_1PX1Vb5GPcIwZCAh2EqV-_xQmvLx9HiF8CxL_jww7Q8mjQnxkluefGv4tsTnZ3JchQhL9J84cc7A859Q7Kj4ERkvDu88Bp2YON6-AZJ6_QkR5zgZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy0N5q_QerKkKRRTJISgsVPx_vGv8WhNTWy49rHBGwe8K_lsHD5_by0b-snlZcmpC99_ZmY2JBcuWMLkQqjOO2bv1rSV9PoW3rOxNbIjNgcXElXWctfWtJp44qiEjOFqzWQweTO|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyeKDp_Vl1iLKFuYEMzrFn6UQbUILrpqx1RZxztdVI-nxNM1VVN7_muOlKT793d8s1_pAlyS7eZHIoW-sIXF-gUyvx5YnEG-jXOQSEwMnirAB7Kqx0W4qiqdioTdFOpcPKq2Sau7PVBMYw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVb2mcxyibZIGAfDj9RsRE5bU4Zu4IY-YiCceGkEy1eBkIz05YNxCRBPTeVUkqM6PV2EfJUZIjfDa4Js6uPz6o78BCjql0QtvzNgQ8w_PzFEKT221WFHMPtClYsqg0pnDAIkJr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwH8QZ66Cd8SoOdBkgqbaDm4H1bU89ejcSoZUiGcbrMU8n98z4M13ISOpdhx49I05FN865yyJHeyleaL9iADX3Q7KnzYVL-TOrWqx34TXyHsfMZExKFbh3xl_tRmTBYzYhNRvwL,https://lh3.googleusercontent.com/p/AF1QipPzn4WWUbQ5f5UAWq42PtGqn2ZpGR2CC1TcDThM
N/A,0666-282718,"W3G8+FJ7, Témara","3,5",Hammam Lalla Khadija,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_oGEkc3bybHFHAmNMyMu7zKQa9whv9bZz3GM9LoDvOANbxD4n1B55NxI0sQF6ucq6fp7A9a52tAQ1pjIq8bh4bLOBqqDV23jPXl0_BBTExSR4ieUX8fbH-qggh5GpFKJo6nz-,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_oGEkc3bybHFHAmNMyMu7zKQa9whv9bZz3GM9LoDvOANbxD4n1B55NxI0sQF6ucq6fp7A9a52tAQ1pjIq8bh4bLOBqqDV23jPXl0_BBTExSR4ieUX8fbH-qggh5GpFKJo6nz-
N/A,N/A,"12000 Av. Tarik Ibn Ziad, Témara","3,9",Hammam Chifae,N/A,,N/A
N/A,N/A,"W3CR+FHP, Témara","4,1",Hammam Albassatine,N/A,https://lh3.googleusercontent.com/p/AF1QipMpxF_PA9zIp2prktSry7OFzFPjUvRoy6AqaPs,https://lh3.googleusercontent.com/p/AF1QipMpxF_PA9zIp2prktSry7OFzFPjUvRoy6AqaPs
S'identifie comme géré par une femme,05376-46620,"Rue Rajaa, Témara","4,4",Body and Mind Spa,N/A,https://lh3.googleusercontent.com/p/AF1QipOJ7voTiAxO0uZ_hXeww6Ed4rVU7F8MFblu9DOT|https://lh3.googleusercontent.com/p/AF1QipMVsk3jJa6bnnnJYmJWIZa0-zVTn1VKn2Zu2ZAS|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxWBV1cvJpSiI-TLRGq8i1hyWlNpHgVeS-_2pT6sbjlC7E0SqDGiO3Tu6P3rsgFTNZ61DuxvfyUv6eSv5hqIg_UKvM_KGxlfPmaJPjodrbKKuwvJ5jBuYYm6wbcL3Wuom8Cv1Bu|https://lh3.googleusercontent.com/p/AF1QipPyBpp5SyS5MsQeWPCWwhGmP9Ctj807Rl2e-mHK|https://lh3.googleusercontent.com/p/AF1QipPZvDQh06vLSlwFlaNSpp8AaO3nqmqr9DbRrGhj|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzE8yi0VU0VELdoMempq-Z2UGBM7TGySHD8FyM1DaI0wKmpGPIIOUY1AcUW0UU474JGbcTqVHonlqCDzIdiNXeRbtWMXgmMCXw6RFI4JEm3dB8doFS6zYsmc2pc2LUOWzYDhiAr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYewUCqgWyU6Dz1jF_SW9gdq3hdW6LQpb88f9ClZ6Nc8GEdzLwLturjl1DwxLVz1GaR4DwE2jW61P2Rj0qHdGqMalonk3G5fymTOPquvDli4N-EUmKesSf-Pvo9ASKRTdnjdquFIZfpQKL|https://lh3.googleusercontent.com/p/AF1QipNeIVA8JXyPlyefJQZrQp8YRU0v4NElIXs7Adyn|https://lh3.googleusercontent.com/p/AF1QipN6IiLnL6tKxwyRDMKnN0LOD6QfwDBle-IKo-ZE|https://lh3.googleusercontent.com/p/AF1QipOyOOXtSaldCw-DH9cETdEjXnLrINnJZdIOUmCR,https://lh3.googleusercontent.com/p/AF1QipOJ7voTiAxO0uZ_hXeww6Ed4rVU7F8MFblu9DOT
N/A,N/A,"W32F+942, Témara","5,0",Salon & Spa Chez Hamam Hasnae,N/A,,N/A
N/A,N/A,"12000, Témara 12000","4,5",Hammam salam temara,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXMsFp-Wan0BXFa78OsUNz0HvUUk38twnP5aoVQypgVThBjjbjrtjIFXIZCPdVtExomLGHMDwFHB_nZ6oWDxsfj5zb3o0gFFQlDZUZQHzt8oAuIpqFLyD_ck1v9y-WvbdQt9Ka|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzqQf_1nVE-y3WsUOHrJ5fosmW5FQpmadIouIhDDfBYUdEpquotof7sD1k-LJjhddLumUtqn-le9fvhp4lpyc6-AvSrJVgJoCct0IyDHXyWgUw0PqpHRYgTy1YTOrUsL2M6Fzy|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy0eI0Gq7vZhFZykaiEUg0tiWO-DGIwJf_cIx0VZJ-8osjRbyMKfz4xm8h2trP7mq_1zPPgJjQhF6pnUGV5D6P7Nceq9mNoP0x-aFmmHyaTg52olvHIVlPIz2ehC1aDKWcgwQW0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXMsFp-Wan0BXFa78OsUNz0HvUUk38twnP5aoVQypgVThBjjbjrtjIFXIZCPdVtExomLGHMDwFHB_nZ6oWDxsfj5zb3o0gFFQlDZUZQHzt8oAuIpqFLyD_ck1v9y-WvbdQt9Ka
N/A,0642-485758,"sable d'or, 12040 quartier tito en face de l'hôtel la Felouque Harhouha, 10 Rue, Témara","4,5",DOLY SPA,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmJYB3bNhhmVvN8JaQ_qurxohbQg04JUILafr388TbgONUzveDsaw8Xg4qhRZIOUdzOcggH5Ka8hQiMfPQL4hqqZvDWpwwGNoCEsXLy21FvUYzsAe4gbkw0EV3xOwZ6O0GAp8cM73E4GA,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmJYB3bNhhmVvN8JaQ_qurxohbQg04JUILafr388TbgONUzveDsaw8Xg4qhRZIOUdzOcggH5Ka8hQiMfPQL4hqqZvDWpwwGNoCEsXLy21FvUYzsAe4gbkw0EV3xOwZ6O0GAp8cM73E4GA
